Affiliation,Number,Percent
PROFESSOR,33,0.6346153846153846
LECTURER,10,0.19230769230769232
COORDNTR INSTRUCTION LABS,1,0.019230769230769232
RESEARCH FELLOW,1,0.019230769230769232
TEACHING ASSISTANT,1,0.019230769230769232
GRADUATE STUDENT,1,0.019230769230769232
IT PROJECT LEADER,1,0.019230769230769232
HOUSE DEAN,2,0.038461538461538464
SENIOR RESEARCH SCIENTIST,1,0.019230769230769232
ARCHAEOBOTANICAL TEACHING SPECIALIST,1,0.019230769230769232
