Affiliation,Number,Percent
PROFESSOR,22,0.6285714285714286
LECTURER,4,0.11428571428571428
PHILOSOPHY,4,0.11428571428571428
,3,0.08571428571428572
SR FELLOW,1,0.02857142857142857
ASSOC DIRECTOR D,1,0.02857142857142857
