date,time,address,offense,description
10/16/16,1:22 AM,3800 Walnut St,Assault,Complainant assaulted by boyfriend/Arrest
10/07/16,2:00 PM,4001 Walnut St,Assault,Complainant struck in the face by unknown male
10/16/16,5:40 PM,4100 Spruce St,Assault,Complainant struck in head with binder/Arrest
10/16/16,12:40 AM,4012 Walnut St,Assault,Complainant struck by boyfriend/Arrest
10/30/16,2:47 PM,4000 Walnut St,Assault,Complainant struck in face
10/16/16,1:22 AM,3800 Walnut St,Assault,Complainant assaulted by boyfriend/Arrest
11/08/16,5:57 AM,3800 Walnut St,Assault,Complainant assaulted by known male
10/30/16,2:47 PM,4000 Walnut St,Assault,Complainant struck in face
11/09/16,5:48 PM,3200 South St,Other Assault,Complainant threatened by unknown male
11/08/16,5:57 AM,3800 Walnut St,Assault,Complainant assaulted by known male
11/11/16,7:33 PM,3609 Locust Walk,Other Assault,Threatening messages received
11/22/16,2:31 PM,4012 Walnut St,Assault,Complainant choked by unknown male
11/15/16,9:00 PM,4016 Market St,Assault,Complainant assaulted by known offender/Arrest
12/13/16,6:43 PM,3680 Walnut St,Assault,Complainant grabbed by the neck
11/16/16,10:13 PM,3800 Spruce St,Assault,Complainant assaulted and vehicle vandalized/Arrest
2/21/2017,5:38 AM,4001 Walnut St,Assault,Complainant threatened by male
11/18/16,12:00 PM,3800 Locust Walk,Other Assault,Threats made to complainant
4/21/17,8:32 PM,4043 Walnut St,Assault,Male struck in face
11/19/16,3:30 AM,4145 Chestnut St,Assault,Offender struck complainant
4/23/17,3:22 AM,4001 Walnut St,Assault,Complainant choked by known male
11/22/16,2:31 PM,4012 Walnut St,Assault,Complainant choked by unknown male
05/21/17,3:18 PM,4632 Walnut St,Aggravated Assault/Arrest,
11/25/16,1:03 PM,4038 Locust St,Assault,Male punched several times by known person
06/20/17,12:37 AM,48th & Walnut St,Aggravated assault,
12/10/16,8:18 PM,3900 Chestnut St,Assault,Complainant assaulted by domestic partner
7/23/17,2:10 PM,4500 Walnut St,Assault,
12/13/16,6:43 PM,3680 Walnut St,Assault,Complainant grabbed by the neck
7/25/17,10:44 AM,2900 Walnut St,Assault,
12/14/16,1:18 AM,3850 Spruce St,Other Assault,Complainant threatened by offender
7/27/17,6:41 PM,4628 Walnut St,Domestic Assault,
12/17/16,12:44 AM,3900 Market St,Assault,Complainant assaulted by domestic partner
7/28/17,1:11 AM,3935 Walnut St,Assault,
12/22/16,4:12 PM,51 N 39th St,Assault,Complainant assaulted by known male
8/1/17,7:46 PM,3925 Walnut St,Domestic Assault,
12/23/16,8:34 AM,51 N 39th St,Assault,Complainant struck and bit by known person
08/22/17,4:08 PM,4000 Walnut St,Assault,Offender arrested for attempted assault
12/23/16,10:43 AM,3600 Sansom St,Assault,Complainant assaulted by known person
08/22/17,4:08 PM,4000 Walnut St,Assault,Offender arrested for attempted assault
12/23/16,2:30 PM,3900 Market St,Assault,Male assaulted by unknown Umber driver
09/07/17,3:34 PM,4526 Walnut St,Assault,
01/08/17,12:52 PM,3900 Market St,Assault,Complainant assaulted by unknown offender/Arrest
09/11/17,10:20 PM,4636 Walnut St,Domestic Assault/ Arrest,
01/10/2017,11:00 AM,3900 Delancey St,Assault,Complainant struck by male/Arrest
09/13/17,6:13 PM,4601 Walnut St,Assault,
01/11/2017,6:22 PM,3180 Chestnut St,Assault,Complainant threatened by male with gun
09/24/16,12:22 PM,3744 Spruce St,Assault,Complainant struck by ex-employee
01/15/2017,4:22 AM,51 N 39th St,Other Assault,Threats received via text and Facebook
05/28/16,12:57 PM,3700 Spruce St,Assault,Complainant struck in mouth
01/20/17,12:29 PM,3400 Spruce St,Assault,Complainant grabbed by unknown male
06/19/16,5:08 PM,4105 Spruce St,Assault,Complainant assaulted by known person
01/27/17,6:34 PM,220 S. 40th St,Assault,Unknown male threw item at complainant
07/10/16,9:00 AM,3400 Spruce St,Assault,Complainant punched by known male
01/31/17,3:11 PM,3400 Market St,Assault,Complainant punched in the back several times
07/21/16,8:05 PM,3800 Spruce St,Assault,Complainant assaulted by unknown person
01/31/17,6:22 PM,220 S 40th St,Assault,Complainant punched in chest
08/13/16,12:32 AM,4200 Spruce St,Assault,Complainant assaulted by boyfriend/Arrest
01/31/17,7:47 PM,3535 Market St,Assault,Complainant punched in the chest
10/04/16,12:18 AM,4000 Spruce St,Assault,Complainant assaulted by known female
02/05/17,4:29 PM,3400 Spruce St,Other Assault,Patient threatened complainant
10/16/16,5:40 PM,4100 Spruce St,Assault,Complainant struck in head with binder/Arrest
02/08/17,4:07 PM,51 N 39th St,Assault,Security officer assaulted/Arrest
11/16/16,10:13 PM,3800 Spruce St,Assault,Complainant assaulted and vehicle vandalized/Arrest
02/08/17,5:25 PM,3400 Spruce St,Assault/Dating,Offender choked complainant
12/14/16,1:18 AM,3850 Spruce St,Other Assault,Complainant threatened by offender
02/18/17,10:09 PM,3400 Spruce St,Other Assault,Complainant receiving threatening texts
01/20/17,12:29 PM,3400 Spruce St,Assault,Complainant grabbed by unknown male
02/19/17,7:04 AM,3400 Spruce St,Other Assault,Male made threats by phone
02/05/17,4:29 PM,3400 Spruce St,Other Assault,Patient threatened complainant
2/21/2017,5:38 AM,4001 Walnut St,Assault,Complainant threatened by male
02/08/17,5:25 PM,3400 Spruce St,Assault/Dating,Offender choked complainant
2/22/2017,10:42 PM,4000 Sansom St,Assault,Operator attempted to strike complainant/Arrest
02/18/17,10:09 PM,3400 Spruce St,Other Assault,Complainant receiving threatening texts
03/07/2017,2:38 AM,3400 Civic Center Blvd,Other Assault,Unwanted text messages received
02/19/17,7:04 AM,3400 Spruce St,Other Assault,Male made threats by phone
03/09/2017,6:40 PM,220 S 40th St,Assault,Complainant assaulted by unknown juvenile male
4/12/2017,2:25 PM,4006 Spruce St,Assault,Complainant being followed by male
3/14/2017,1:04 AM,51 N 39th St,Assault,Offender struck complainant in the face/Arrest
4/29/17,3:06 AM,3744 Spruce St,Assault,Officer hit by offender/Arrest
3/14/2017,2:57 PM,3604 Chestnut St,Assault,Offender struck complainant in the face/Arrest
05/13/17,8:43 AM,4931 Spruce St.,Domestic Assault,
4/12/2017,2:25 PM,4006 Spruce St,Assault,Complainant being followed by male
7/27/17,8:52 AM,3400 Spruce St,Indecent Assault,
4/16/2017,3:19 AM,4100 Pine St,Assault,Officer assaulted by suspect/Arrest
08/14/17,7:06 PM,4000 Spruce St,Domestic assault/ Arrest,
4/16/2017,3:20 AM,4100 Pine St,Assault,Officer assaulted by offender/Arrest
08/15/17,8:40 PM,3400 Spruce St,Domestic assault/ Arrest,
4/21/17,8:32 PM,4043 Walnut St,Assault,Male struck in face
08/25/17,12:26 PM,3400 Spruce St,Other assault,Harassing calls received
4/22/17,9:12 PM,231 S 34th St,Assault,Bike taken from bike rack/Arrest
09/02/17,3:42 AM,3700 Spruce St,Indecent Assault,
4/23/17,3:22 AM,4001 Walnut St,Assault,Complainant choked by known male
09/02/17,8:29 PM,3400 Spruce St,Assault,
4/29/17,3:06 AM,3744 Spruce St,Assault,Officer hit by offender/Arrest
09/16/17,2:28 AM,4312 Spruce St,Indecent Assault,
05/04/17,11:04 PM,3900 Baltimore Ave,Assault,Offender grabbed and punched complainant
09/04/2016,10:25 PM,2930 Chestnut St,Assault,Complainant assaulted by boyfriend
05/07/17,7:58 PM,4039 Chestnut St,Assault,Male assaulted by offender/Arrest
05/04/16,11:22 PM,3300 Chestnut St,Assault,Complainant assaulted by ex-boyfriend
05/11/17,8:21 AM,4901 Chestnut,Assault,
07/05/16,4:27 PM,4220 Chestnut St,Assault,Male struck in face
05/11/17,9:21 AM,3600 Civic Center Blvd.,Indecent Assault,
07/23/16,11:20 PM,3813 Chestnut St,Assault,Complainant struck by female
05/13/17,8:43 AM,4931 Spruce St.,Domestic Assault,
11/19/16,3:30 AM,4145 Chestnut St,Assault,Offender struck complainant
05/14/17,6:15 AM,1333 S 49h St.,Assault,
12/10/16,8:18 PM,3900 Chestnut St,Assault,Complainant assaulted by domestic partner
05/15/17,12:47 AM,4200 Regent Sq,Aggravated Assault,
01/11/2017,6:22 PM,3180 Chestnut St,Assault,Complainant threatened by male with gun
05/16/17,5:48 PM,506 S 42nd St,Assault,
3/14/2017,2:57 PM,3604 Chestnut St,Assault,Offender struck complainant in the face/Arrest
05/18/17,12:59 PM,4300 Ludlow St,Aggravated Assault,
05/07/17,7:58 PM,4039 Chestnut St,Assault,Male assaulted by offender/Arrest
05/20/17,10:08 PM,2970 Market St,Indecent Assault,
05/11/17,8:21 AM,4901 Chestnut,Assault,
05/21/17,3:18 PM,4632 Walnut St,Aggravated Assault/Arrest,
06/19/17,3:30 PM,4000 Chestnut St,Indecent assault,
05/30/17,7:52 AM,40th & Sansom,Aggravated assault/unfounded per investigation
06/21/17,11:49 AM,3737 Chestnut St,Assault,
05/31/17,3:21 AM,4542 Sansom St,Assault,
06/21/17,4:24 PM,3609 Chestnut St,Assault,
05/31/17,11:57 AM,3440 Market St,Simple Assault/arrest,
07/05/17,5:26 AM,4414 Chestnut St.,Aggravated Assault,
06/01/17,2:19 PM,410 S 45th St,Assault,
8/8/17,4:01 PM,2900 Chestnut Street,Assault,
06/04/17,3:06 PM,48th & Pine Sts,Domestic assault/arrest,
7/25/17,8:40 PM,4301 Chestnut St,Assault,
06/19/17,3:30 PM,4000 Chestnut St,Indecent assault,
7/28/17,11:44 AM,3000 Chestnut St,Assault,
06/20/17,12:37 AM,48th & Walnut St,Aggravated assault,
09/03/17,11:33 PM,4040 Chestnut St,Aggravated Assault/ Arrest,
06/21/17,11:49 AM,3737 Chestnut St,Assault,
8/31/2016,9:05 PM,3948 Market St,Other Assault,Complainant threatened by known male
06/21/17,4:24 PM,3609 Chestnut St,Assault,
09/10/16,4:19 PM,3948 Market St,Assault,Complainant assaulted by boyfriend
06/22/17,10:25 AM,3913 Ludlow Street,Assault,
06/30/16,4:23 PM,4000 Market St,Assault,Complainant struck by unknown females
06/22/17,11:47 AM,3800 Baltimore Ave,Assault,
10/07/16,7:21 PM,3900 Market St,Assault,Complainant shot and stabbed
06/22/17,2:22 PM,4418 Market Street,Aggravated assault/Arrest,
11/15/16,9:00 PM,4016 Market St,Assault,Complainant assaulted by known offender/Arrest
06/22/17,3:44 PM,4418 Market Street,Aggravated assault /Arrest,
12/17/16,12:44 AM,3900 Market St,Assault,Complainant assaulted by domestic partner
07/05/17,12:35 AM,910 S. 46th St.,Aggravated Assault,
12/23/16,2:30 PM,3900 Market St,Assault,Male assaulted by unknown Umber driver
07/05/17,5:26 AM,4414 Chestnut St.,Aggravated Assault,
01/08/17,12:52 PM,3900 Market St,Assault,Complainant assaulted by unknown offender/Arrest
07/07/17,8:34 PM,4831 Baltimore Avenue,Aggravated Assault/Arrest,
01/31/17,3:11 PM,3400 Market St,Assault,Complainant punched in the back several times
7/10/17,4:55 PM,4201 Baltimore Ave,Assault,
01/31/17,7:47 PM,3535 Market St,Assault,Complainant punched in the chest
7/14/17,10:44 PM,1000 S. 46th St,Domestic Assault/ Arrest,
05/20/17,10:08 PM,2970 Market St,Indecent Assault,
7/23/17,2:10 PM,4500 Walnut St,Assault,
05/31/17,11:57 AM,3440 Market St,Simple Assault/arrest,
8/8/17,4:01 PM,2900 Chestnut Street,Assault,
06/22/17,2:22 PM,4418 Market Street,Aggravated assault/Arrest,
8/10/17,12:41 PM,S. 41st St,Assault,
06/22/17,3:44 PM,4418 Market Street,Aggravated assault /Arrest,
8/12/17,12:43 AM,3990 Market St,Assault,
8/12/17,12:43 AM,3990 Market St,Assault,
8/12/17,12:00 PM,600 University Ave,Assault,
08/14/17,12:29 PM,3950 Market St,Assault,
7/24/17,1:19 PM,120 S 45th St,Aggravated assault/ Arrest,
09/18/17,12:00 PM,48th & Market Sts,Domestic assault,
7/25/17,10:44 AM,2900 Walnut St,Assault,
09/21/17,7:18 PM,30th & Market Sts,Domestic assault,
7/25/17,8:40 PM,4301 Chestnut St,Assault,
05/05/16,8:22 PM,4118 Baltimore St,Assault,Complainant punched by known male
7/27/17,8:52 AM,3400 Spruce St,Indecent Assault,
05/05/16,10:10 PM,4033 Baltimore St,Assault,Complainant assaulted by known male
7/27/17,6:41 PM,4628 Walnut St,Domestic Assault,
05/04/17,11:04 PM,3900 Baltimore Ave,Assault,Offender grabbed and punched complainant
