date,time,address,offense,description
07/20/16,4:44 AM,3400 Market St,Robbery,Complainant assaulted and cell phone taken/Arrest
8/8/17,2:56 PM,3735 Walnut St,Robbery
12/13/16,6:30 PM,4006 Market St,Robbery,Purse taken/Arrest
8/9/17,4:18 AM,409 S. 42nd St,Robbery
12/23/16,4:50 PM,3300 Market St,Robbery,Attempted strong-arm robbery
8/9/17,7:36 PM,S. 42nd St,Robbery
08/28/17,5:28 PM,4500 Market St,Robbery,
8/13/17,4:04 PM,4301 Walnut Street,Robbery
09/11/17,1:33 AM,3400 Market St,Robbery,
7/24/17,11:28 PM,300 S 42nd St,Robbery/ Arrest
09/11/17,10:07 AM,4328 Market St,Robbery,
7/25/17,6:24 AM,123 S 46th St,Robbery
03/25/2017,5:02 PM,4200 Locust St,Robbery,Offenders attempted to take cell phone
7/30/17,7:55 PM,45th & Springfield Ave,Robbery/ Arrest
06/04/17,4:51 PM,4710 Locust St,Robbery/arrest,
8/1/17,9:58 AM,4600 Kingsessing Ave,Robbery
7/14/17,10:24 PM,4314 Locust St,Robbery,
08/19/17,6:43 PM,3914 Pine St,Robbery,
08/25/17,11:47 AM,4200 Locust St,Robbery,iPhone forcibly taken from complainant
08/25/17,2:52 AM,1 S 42nd St,Robbery,Auto taken point of gun
10/30/16,3:57 AM,3400 Sansom St,Robbery,Offender attempted to rob complainants
08/25/17,11:47 AM,4200 Locust St,Robbery,iPhone forcibly taken from complainant
10/30/16,5:17 AM,3600 Sansom St,Robbery,Currency from wallet
08/25/17,4:30 PM,4001 Walnut St,Robbery,Male took items and fought with security/Arrest
09/18/16,10:44 PM,4200 Pine St,Robbery,Wallet and iPhone taken
08/28/17,12:39 AM,47th & Woodland Ave,Robbery
10/18/16,6:26 PM,4200 Pine St,Robbery,Offender attempted to rob complainant/Arrest
08/28/17,5:28 PM,4500 Market St,Robbery,
08/19/17,6:43 PM,3914 Pine St,Robbery,
08/30/17,11:39 PM,1242 S 47th St,Robbery,
09/24/17,9:41 PM,3954 Pine St,Robbery/ Arrest,
09/06/17,6:06 AM,216 S 46th St,Robbery,
09/06/17,8:11 PM,4533 Osage Ave,Robbery/ Arrest,
09/06/17,8:11 PM,4533 Osage Ave,Robbery/ Arrest
09/08/17,9:15 PM,47th & Osage,Robbery/ Arrest,
09/06/17,8:20 PM,45th & Spruce Sts,Robbery/ Arrest,
no date,11:07 AM,3600 Ludlow St,Robbery,Cell phone taken by known person
09/07/17,2:54 PM,4500 Chester Ave,Robbery,
no date,9:07 PM,44th & Ludlow Sts,Robbery,
09/07/17,9:13 PM,4704 Chester Ave,Robbery/ Arrest,
no date,7:47 PM,4200 Ludlow St,Robbery,
09/07/17,9:14 PM,46th & Regent Sts,Robbery/ Arrest,
09/07/17,2:54 PM,4500 Chester Ave,Robbery,
09/08/17,9:15 PM,47th & Osage,Robbery/ Arrest,
09/07/17,9:13 PM,4704 Chester Ave,Robbery/ Arrest,
09/11/17,1:33 AM,3400 Market St,Robbery,
09/17/17,1:00 AM,4700 Reinhardt St,Robbery,
09/11/17,10:07 AM,4328 Market St,Robbery,
09/07/17,9:14 PM,46th & Regent Sts,Robbery/ Arrest,
09/17/17,1:00 AM,4700 Reinhardt St,Robbery,
09/28/16,3:30 PM,3800 Woodland Walk,Robbery,US currency forcibly taken from complainant
09/18/17,10:23 AM,3800 Walnut St,Robbery,
08/28/17,12:39 AM,47th & Woodland Ave,Robbery,
09/24/17,9:41 PM,3954 Pine St,Robbery/ Arrest,
8/1/17,9:58 AM,4600 Kingsessing Ave,Robbery,
05/30/17,10:00 PM,4711 Springfield Ave,Robbery,
7/30/17,7:55 PM,45th & Springfield Ave,Robbery/ Arrest,
09/02/2016,1:36 AM,4000 Delancey St,Robbery,Cell phone currency and watch taken/2 Arrests
09/20/16,5:04 PM,4000 Irving St,Robbery,Complainant assaulted and cell phone taken/3 arrests made
