date,time,address,offense,description,lat,lng
12/18/16,12:37 AM,3817 Spruce St,Arson,Unknown person set fire,39.9515262,-75.1999084
02/10/17,4:51 AM,3817 Spruce St,Arson,Matchbook lit and left by door,39.9515262,-75.1999084
4/12/2017,10:10 AM,3817 Spruce St,Arson,Poster set on fire,39.9515262,-75.1999084
