Text,Date,Location,Source,Type,URL,Sentiment,Sentiment Score,Dominant Emotion,Anger Score,Disgust Score,Joy Score,Fear Score,Sadness Score
"Look, look. I don't think I'd want to tell you as much as I respect you. You know, I did an interview with -- Chris, at the University of Pennsylvania many, many years ago. We had --",2016-03-30,"Green Bay, WI",YouTube,Interview,https://www.youtube.com/watch?v=w7rHSxxLlOQ&t=358,Unknown,,Joy,0.052,0.154,0.264,0.082,0.25
"of my family, for the most part – Tiffany, my daughter, she's a very smart young woman, she's up at University of Pennsylvania doing great – and she said to me the same thing.",2016-03-31,,The Washington Post,Interview,https://www.washingtonpost.com/wp-stat/graphics/politics/trump-archive/docs/donald-trump-interview-with-bob-woodward-and-robert-costa.pdf,Unknown,,Anger,0.634,0.12,0.524,0.106,0.504
"Look, look. I don't think I'd want to tell you as much as I respect you. You know, I did an interview with -- Chris, at the University of Pennsylvania many, many years ago. We had...",2016-03-30,,MSNBC,Interview,http://info.msnbc.com/_news/2016/03/30/35330907-full-transcript-msnbc-town-hall-with-donald-trump-moderated-by-chris-matthews,Unknown,,,,,,,
