Nathan Bourne Crocker,1812
Horatio Gates Jones,1812
James Hinton,1812
Pardon Bowen,1812
Levi Wheaton,1812
Joshua Bates,1813
John D’Wolf,1813
Abner Phelps,1813
Tillotson Bronson,1813
Moses Stewart,1813
James Burrill,1813
William Corlis Bowen,1813
William Ingalls,1813
John McKie,1813
Barnabas Bates,1814
John Codman,1814
Stephen Hull,1814
William Bullein Johnson,1814
Aaron Whitney Leland,1814
Nathaniel Miller,1814
Luther Rice,1814
Robert Baylor Semple,1814
Thomas Williams,1814
Jonathan Strong,1814
Benjamin Austin,1814
Micajah Hawkes,1814
Abner Phelps,1814
Aaron Whitney Leland,1815
Edward Richmond,1815
William Steadman,1815
Joseph Story,1815
Thomas Manning Barrows,1815
John Mathewson Eddy,1815
James Mann,1815
William Cogswell,1816
Joel Mann,1816
William Newman,1816
Philip Colby,1817
William Gammell,1817
Thomas Noyes,1817
Joseph Richardson,1817
Jonathan Russell,1817
Nathaniel Miller,1817
Asa Eaton,1818
Elnathan Judson,1818
Joshua Thomas,1818
Nathan Towson,1818
Calvin Park,1818
William Richards,1818
Ariel Mann,1818
David Bolles,1819
Cheever Felch,1819
Nathaniel Kendrick,1819
Archibald Maclay,1819
Joseph Leonard Tillinghast,1819
William Holland Wilmer,1819
John Evans,1819
William Hunter,1819
Henry Wheaton,1819
Lemuel Kollek,1819
Charles Sidney Coxe,1820
John Adams Dix,1820
Elon Galusha,1820
Edward Duncan Ingraham,1820
George Keely,1820
Charles George Sommers,1820
William Johns,1820
William Ebenezer Richmond,1821
William Blanding,1821
Caleb Fiske,1821
David King,1821
Bela Jacobs,1822
Isaac Mann,1822
Gideon Wanton Olney,1822
Richard Povall,1822
Christopher Ellery Robbins,1822
Francis Wayland,1822
Stephen Chapin,1822
Benjamin Allen,1822
Thomas Park,1822
Sylvester Holmes,1823
Adoniram Judson,1823
Nathaniel Kendrick,1823
Tristam Burgess,1823
Nathaniel Searle,1823
Nathaniel West Williams,1824
Robert Baylor Semple,1824
Henry Wight,1824
Charles Henry Alden,1825
Peter Chase,1825
Levi French,1825
William Leete Stone,1825
James Fenner,1825
John Jeffries,1825
Usher Parsons,1825
Daniel Thurber,1825
Alva Woods,1826
Jonathan Homer,1826
Charles Odingsell Screven,1826
Marcus Morton,1826
Thomas Bucklin,1826
Albert Collins Greene,1827
Charles Winston Greene,1827
Howard Malcolm,1827
Charles Morris,1827
William Henry Smith,1827
John Rogers Vinton,1827
Jeremiah Fisher Ames,1827
Oliver Cromwell Comstock,1828
Nathaniel Dunn,1828
Theophilus Colhoun Dunn,1828
Joseph Ives Foot,1828
William Jones,1828
Charles Otis Kimball,1828
Joseph Kinghorn,1828
Winslow Paige,1828
Seth Spencer Whitman,1828
Daniel Sharp,1828
Alva Woods,1828
Eliphalet Nott,1828
Rufus Claggett,1829
Frederick Augustus Farley,1829
Horatio Potter,1829
John Stevens,1829
Joseph Gilbert Totten,1829
John Wayland,1830
William Yates,1830
Joel Hawes,1830
William Taylor Grinnell,1831
Bartholomew Trow Welch,1831
Eleazer Mather Porter Wells,1831
William Theophilus Brantly,1831
William Bailies,1831
Edward Jones Mallett,1832
Samuel Boyd Tobey,1832
Samuel Ward,1832
Rev. Elisha Williams,1832
Thomas Steffe Crisp,1832
Charles Pettit McIlvaine,1832
John James D’Wolf,1833
Alexander Hamilton Frink,1833
Francis Vinton,1833
George Washington Greene,1833
Eli Burnham Smith,1833
William Bullein Johnson,1833
John Farrar,1833
William Learned Marcy,1833
John Dowling,1834
Abraham Henry Dumont,1834
Samuel Furman,1834
William Nelson Pendleton,1834
Josiah Quincy,1834
Nathaniel Bradstreet Shurtleff,1834
Isaac Stevens,1834
Joseph Andrews Warne,1834
Oliver Cobb,1834
John Howland,1835
Samuel Larned,1835
John Mason Peck,1835
Wilbur Fisk,1835
