Name,Year,Gender Guesser,Genderizer,Confirmed
Andrew S. Grove,2000,male,male,male
Judith R. Hope,2000,female,female,female
Katherine B. Loker,2000,female,female,female
Maclyn McCarthy,2000,unknown,unknown,male
Constance Baker Motley,2000,female,female,female
Kenzaburo Oe,2000,unknown,unknown,male
Seiji Ozawa,2000,male,male,male
Amartya Sen,2000,unknown,unknown,male
John Ashbery,2001,male,male,male
Ela Bhatt,2001,female,female,female
Geoffrey Canada,2001,male,male,male
Jürgen Habermas,2001,unknown,male,male
Isabella Karle,2001,female,female,female
Leon Kirchner,2001,male,male,male
Alice Rivlin,2001,female,female,female
Robert E. Rubin,2001,male,male,male
Arthur M. Schlesinger Jr.,2001,male,male,male
Richard A. Smith,2001,male,male,male
Charles H. Townes,2001,male,male,male
Sydney Brenner,2002,mostly_male,unknown,male
Peter Brown,2002,male,male,male
Katherine Dunham,2002,female,female,female
Albert Hirschman,2002,male,male,male
Yuan T. Lee,2002,andy,unknown,male
Daniel P. Moynihan,2002,male,male,male
Howard Raiffa,2002,male,male,male
Mamphela Ramphele,2002,unknown,unknown,female
Julius B. Richmond,2002,male,male,male
Neil L. Rudenstine,2002,male,male,male
Ruth J. Simmons,2002,female,female,female
Bernard Williams,2002,male,male,male
Gary S. Becker,2003,male,male,male
Elliot Forbes,2003,male,male,male
Norman C. Francis,2003,male,male,male
Ellsworth Kelly,2003,male,male,male
Mary-Claire King,2003,unknown,unknown,female
Donald Knuth,2003,male,male,male
Linda Nochlin,2003,female,female,female
Philip Roth,2003,male,male,male
Robert G. Stone,2003,male,male,male
P. Roy Vagelos,2003,unknown,unknown,male
Ernesto Zedillo Ponce de Leon,2003,male,male,male
Kofi Atta Annan,2004,male,male,male
Margaret Atwood,2004,female,female,female
John Michael Bishop,2004,male,male,male
Robert Lee Carter,2004,male,male,male
Suzanne Farrell,2004,female,female,female
Daniel Kahneman,2004,male,male,male
Frank Kermode,2004,male,male,male
Shirley M. Tilghman,2004,female,unknown,female
E.O. Wilson,2004,unknown,unknown,male
Mary Ellen Avery,2005,mostly_female,unknown,female
David Baltimore,2005,male,male,male
Caroline Walker Bynum,2005,female,female,female
D. Ronald Daniel,2005,unknown,unknown,male
John Lithgow,2005,male,male,male
Quentin Skinner,2005,male,male,male
Charles Marstiller Vest,2005,male,male,male
Edward Witten,2005,male,male,male
Francis Atiyah,2006,male,unknown,male
Elizabeth Blackburn,2006,female,female,female
Philip E. Converse,2006,male,male,male
Philippe de Montebello,2006,male,male,male
Shirley Ann Jackson,2006,female,unknown,female
Jim Lehrer,2006,male,male,male
Robert Parris Moses,2006,male,male,male
Norman Ramsey,2006,male,male,male
Leo Steinberg,2006,male,male,male
Daniel Aaron,2007,male,male,male
Jocelyn Bell Burnell,2007,female,female,female
William H. Gates,2007,male,male,male
Conrad Harper,2007,male,male,male
William F. Russell,2007,male,male,male
Joan Wallach Scott,2007,female,unknown,female
Robert Silvers,2007,male,male,male
Lawrence H. Summers,2007,male,male,male
Karen K. Uhlenbeck,2007,female,male,female
Karim Aga Khan,2008,male,male,male
James P. Comer,2008,male,male,male
Wen C. Fong,2008,andy,unknown,male
Eric R. Kandel,2008,male,male,male
Damon J. Keith,2008,male,male,male
Edward M. Kennedy,2008,male,male,male
Gerda Lerner,2008,female,female,female
John McCarthy,2008,male,male,male
Janet Rowley,2008,female,female,female
J.K. Rowling,2008,unknown,unknown,female
Daniel Tosteson,2008,male,male,male
Pedro Almodóvar,2009,male,male,male
Steven Chu,2009,male,male,male
Joan Didion,2009,female,unknown,female
Wendy Doniger,2009,female,female,female
