John Agnew Crawford,1875
Claudius Henry Mastin,1875
Thomas Webb Richards,1875
Philip Friedrich Adolph Theodor Spaeth,1875
John William Wallace,1875
Samuel Stehman Haldeman,1876
Mark Antony de Wolfe Howe,1876
Charles George Currie,1877
Morton Mcmichael,1877
Hermann Joseph Schwarzmann,1877
Joseph Miller Wilson,1877
John Welsh,1878
Redmond Barry,1879
Horace Howard Furness,1879
Charles William Schaeffer,1879
Frederick Fraley,1880
Robert Alexander Lamberton,1880
James Abram Garfield,1881
Henry Martyn Hoyt,1881
George Washington Biddle,1882
Eli Kirk Price,1882
William Henry Rawle,1882
George Leib Harrison,1883
Isaac Sharpless,1883
William Wackernagel,1883
Henry Hartshorne,1884
Samuel David Gross,1884
Justin Smith Morrill,1884
Phineas Pemberton Morris,1884
Charles François Bonaventure Miel,1885
Hugh Archibald Clarke,1886
Joseph Parsons Comegys,1886
John Andrews Harris,1886
William Henry Klapp,1886
Joseph Dodgson Newlin,1886
Samuel Powel Jr.,1886
Patrick John Ryan,1886
Theodore Lorenzo Seip,1886
George Pomeroy Allen,1887
Edward Totterson Bartlett,1887
Ferdinand Vandevere Hayden,1887
Samuel D. Mcconnell,1887
Sabato Morais,1887
John Adam Ryder,1887
Robert Ellis Thompson,1887
David Hayes Agnew,1888
George Stuart Chambers,1888
Ezra Otis Kendall,1888
John Kemper Murphy,1888
George Dana Boardman,1889
George Davidson,1889
Cyrus David Foss,1889
John Foster Kirk,1889
Alfred StillÊ,1889
Seth Low,1890
William Wilberforce Newton,1890
David Burt Wilson,1890
Richard Green Moulton,1891
Robert Hamill Nassau,1891
Talcott Williams,1891
Jacob Mandes Dacosta,1892
William Wallace Gilchrist,1892
Richard Coxe Mcmurtrie,1892
François Amédée BrÉGy Jr.,1893
Daniel Garrison Brinton,1893
Hamilton Andrews Hill,1893
Isaac Jones Wistar,1893
Hamdy Bey,1894
John Fiske,1894
Casper René Gregory,1894
William Torrey Harris,1894
Alexander Harrison,1894
William Alexander Lamberton,1894
John Bach Mcmaster,1894
Charles Beylard Nancrede,1894
Robert Emory Pattison,1894
William Pepper,1894
George Tybout Purves,1894
Frederic Ward Putnam,1894
Sara Yorke Stevenson,1894
William Henry Welch,1894
William Ely,1895
John Henry Haynes,1895
Herman Volrath Hilprecht,1895
Merrill W. Hollingsworth,1895
John Punnett Peters,1895
Frederick Dawson Stone,1895
Joseph Brevitt Townsend,1895
Talcott Williams,1895
Louis Fitzgerald Benson,1896
Robert Graham,1896
J. Peter Lesley,1896
Henry Wilson Spangler,1896
Charles Janeway StillÊ,1896
Martin Russell Thayer,1896
Benjamin West Frazier,1897
Wayne Macveagh,1897
Henry Morton,1897
George Frederick Barker,1898
Agnes Irwin,1898
William Neilson Mcvickar,1898
Ozi William Whitaker,1898
William Bowen Boulton,1899
Alfred Craven Harrison Jr.,1899
Lucien Lee Kinsolving,1899
Louis Childs Madeira Jr.,1899
John Bayard Mcpherson,1899
Coleman Sellers,1899
Edgar Fahs Smith,1899
Elwood Worcester,1899
James Barr Ames,1900
Porfirio Diaz,1900
Gerard Brown Finch,1900
John Marshall Harlan,1900
Marcus Jastrow,1900
Charles Arthur Roe,1900
Oscar Solomon Straus,1900
Floyd William Tomkins,1900
Ting-fang Wu,1900
Charles Henry Alden,1901
John Hill Brinton,1901
John Sparhawk Jones,1901
George Wallace Melville,1901
James David Moffat,1901
Thomas Harrison Montgomery,1901
Clement Biddle Penrose,1901
Henry Codman Potter,1901
William L. Prather,1901
Henry Smith Pritchett,1901
George Woodward Wickersham,1901
Edwin Austin Abbey,1902
Nicholas Murray Butler,1902
Heinrich Conreid,1902
Charles Henry Cramp,1902
William Croswell Doane,1902
Oliver Wolcott Gibbs,1902
Hugh Thomas Henry,1902
David Jayne Hill,1902
Richard Mott Jones,1902
Edward Alexander Macdowell,1902
Willoughby Dayton Miller,1902
Agnes Repplier,1902
William Howard Taft,1902
Joseph Wharton,1902
Jesse Young Burk,1903
William Crawford Gorgas,1903
William Mansfield Groton,1903
Alexander Crombie Humphreys,1903
William Peterson,1903
John Singer Sargent,1903
Felix Emmanuel Schelling,1903
Francis Preston Venable,1903
Charles Doolittle Walcott,1903
John Grimes Walker,1903
Woodrow Wilson,1903
Leonard Wood,1903
Henry Pickering Bowditch,1904
Russell Henry Chittenden,1904
William Healey Dall,1904
George Dock,1904
Jean Adrien Antoine Jules Jusserand,1904
James Tyndale Mitchell,1904
Richard Henry Nelson,1904
Samuel Whitaker Pennypacker,1904
James Whitcomb Riley,1904
Sir Frederick Bart. Treves,1904
James Truman,1904
Hermann Von Speck-Sternburg,1904
Horatio Curtis Wood,1904
Charles Edgar Clark,1905
Henry Mortimer Durand,1905
Philander Chase Knox,1905
Theodore Roosevelt,1905
David Thompson Watson,1905
His Imperial Majesty Friedrich German Emperor and King of Prussia Wilhelm II (stricken),1905
Robert Simpson Woodward,1905
William Phipps Blake,1906
Alois Brandl,1906
William Keith Brooks,1906
Andrew Carnegie,1906
Hampton Lawrence Carson,1906
George Howard Darwin,1906
Hugo Devries,1906
Samuel Dickson,1906
His Majesty King of England Edward Vii,1906
John Fritz,1906
James Gayley,1906
Lloyd Carpenter Griscom,1906
James Addison Henry,1906
William Peddle Henszey,1906
Ramon Ibarrola,1906
Joseph Jacobs,1906
Edwin Ames Jaggard,1906
Hendrik Antoon Lorentz,1906
Alexander Mackenzie,1906
John William Mallet,1906
Edgar Marburg,1906
Guglielmo Marconi,1906
John Vaughan Merrick,1906
Mansfield Merriman,1906
Albert Abraham Michelson,1906
Edward Leamington Nichols,1906
William Paterson Paterson,1906
Edward Charles Pickering,1906
Charles Whiteside Rae,1906
William Clarence Richardson,1906
Ernest Rutherford,1906
William Berryman Scott,1906
Samuel Sheldon,1906
Edgar Fahs Smith,1906
Henry Wilson Spangler,1906
Frederic Pike Stearns,1906
Kanhiro Takaki,1906
Frederick Winslow Taylor,1906
Henry Van Dyke,1906
Samuel Matthews Vauclain,1906
Henri Vetillart,1906
His Majesty King of Italy Vittorio Emanuelle Iii,1906
George Washburn,1906
Thomas Bailey Aldrich,1907
Craig Biddle,1907
Arthur Erwin Brown,1907
Albert Joseph Edmunds,1907
John Watson Foster,1907
Rudolph Hering,1907
Oliver Huckel,1907
John Arthur Johnson,1907
Howard Atwood Kelly,1907
Hideyo Noguchi,1907
Leonard Pearson,1907
George Wharton Pepper,1907
Joseph George Rosengarten,1907
Thomas Watson Sidwell,1907
Horace Lemuel Wells,1907
Owen Wister,1907
Cecelia Beaux,1908
Henry Cadwalader Chapman,1908
Joseph Hodges Choate,1908
Edwin Grant Conklin,1908
Grove Karl Gilbert,1908
Lloyd Mifflin,1908
James Alan Montgomery,1908
Charles Edmund Rice,1908
Edwin Sydney Stuart,1908
John Lambert Cadwalader,1909
Samuel Gibson Dixon,1909
Edward Miller Jefferys,1909
Samuel McCune Lindsay,1909
Charles Follen Mckim,1909
Charles Bingham Penrose,1909
Felix Emmanuel Schelling,1909
John Thomson,1909
James Montgomery Beck,1910
Morris Lewis Clothier,1910
Charles Evans Hughes,1910
Samuel Rea,1910
Ethelbert Dudley Warfield,1910
George Smedley Webster,1910
Edward Potts Cheyney,1911
Walton Clark,1911
Henry Sturgis Drinker,1911
Basil Lanneau Gildersleeve,1911
Charles Custis Harrison,1911
Warren Powers Laird,1911
Thomas Riley Marshall,1911
Veranus Alva Moore,1911
James DeWolf Perry Jr.,1911
William Lawrence Saunders,1911
Johann Heinrich Von Bernstorff (stricken),1911
Alexander Crever Abbott,1912
Edwin Anderson Alderman,1912
John Cadwalader,1912
Louis Adolphus Duhring,1912
Carl Hering,1912
John Grier Hibben,1912
George Woolsey Hodge,1912
Horace Harmon Lurton,1912
William James Mayo,1912
Philip Mercer Rhinelander,1912
Edward Robins,1912
Joseph Swain,1912
James Tyson,1912
Henry Harbaugh Apple,1913
Paul Philippe Cret,1913
Edward Vincent D'Invilliers,1913
Henry Pomeroy Davison,1913
George Washington Goethals,1913
Phillips Lee Goldsborough,1913
Emory Richard Johnson,1913
Henry Spackman Pancoast,1913
George Morris Philips,1913
Henry Phipps,1913
Edward Tyson Reichert,1913
Witmer Stone,1913
Edward Livingston Trudeau,1913
George Edmund Deschweinitz,1914
Sydney George Fisher,1914
John Augustus William Haas,1914
Morris Jastrow Jr.,1914
Lucien Lee Kinsolving,1914
Hugo Albert Rennert,1914
Nathan Christ Schaeffer,1914
Edward Hartley Angle,1915
Green Vardiman Black,1915
Truman William Brophy,1915
Edwin Tyler Darby,1915
William Dieck,1915
Edouard Charles Godon,1915
Josiah Settle Graves,1915
John Graver Johnson,1915
Harry Frederick Keller,1915
Edward Cameron Kirk,1915
William Ephraim Mikell,1915
Robert Andrews Millikan,1915
John Howard Mummery,1915
William Simon,1915
Eugene Solomon Talbot,1915
Arthur Newell Talbot,1915
John Wanamaker,1915
John Torrey Windrim,1915
Jacob Hay Brown,1916
Horace Howard Furness Jr.,1916
Herbert Sherman Houston,1916
Margaret Center Klingelsmith,1916
Samuel Black Mccormick,1916
Charles Karsner Mills,1916
Bliss Perry,1916
Daniel Lincoln Wallace,1916
Robert Judson Aley,1917
William Wistar Comfort,1917
Arthur Maurice Greene Jr.,1917
Zane Grey,1917
Herbert Clark Hoover,1917
Joseph Jacques Césaire Joffre,1917
William Kelly Jr.,1917
Frederic Courtland Penfield,1917
Jacob Gould Schurman,1917
Leopold Stokowski,1917
Charles Franklin Thwing,1917
René Viviani,1917
Henry Galbraith Ward,1917
Frank Miles Day,1918
Robert Alexander Falconer,1918
Henry Page,1918
James Hosmer Penniman,1918
William Wallace Atterbury,1919
Arthur Hopewell-Smith,1919
William Williams Keen,1919
Charles Penrose Keith,1919
John Clark Knox,1919
Edward Martin,1919
Jonathan Willis Martin,1919
Harlan Sherman Miner,1919
Richard Montgomery,1919
Frederick Peterson,1919
Charles Lee Reese,1919
William Cameron Sproul,1919
John Frederick Wolle,1919
