Charles Marstiller Vest,2005
Edward Witten,2005
Francis Atiyah,2006
Elizabeth Blackburn,2006
Philip E. Converse,2006
Philippe de Montebello,2006
Shirley Ann Jackson,2006
Jim Lehrer,2006
Robert Parris Moses,2006
Norman Ramsey,2006
Leo Steinberg,2006
Daniel Aaron,2007
Jocelyn Bell Burnell,2007
William H. Gates,2007
Conrad Harper,2007
William F. Russell,2007
Joan Wallach Scott,2007
Robert Silvers,2007
Lawrence H. Summers,2007
Karen K. Uhlenbeck,2007
Karim Aga Khan,2008
James P. Comer,2008
Wen C. Fong,2008
Eric R. Kandel,2008
Damon J. Keith,2008
Edward M. Kennedy,2008
Gerda Lerner,2008
John McCarthy,2008
Janet Rowley,2008
J.K. Rowling,2008
Daniel Tosteson,2008
Pedro Almodóvar,2009
Steven Chu,2009
Joan Didion,2009
Wendy Doniger,2009
Ronald M. Dworkin,2009
Anthony S. Fauci,2009
Sarah Hrdy,2009
Robert S. Langer,2009
Wynton Marsalis,2009
Sidney Verba,2009
Thomas R. Cech,2010
Renée Fox,2010
Freeman A. Hrabowski III,2010
Susan Lindquist,2010
Thomas Nagel,2010
David G. Nathan,2010
Onora O’Neill,2010
Richard Serra,2010
David H. Souter,2010
Meryl Streep,2010
Tim Berners-Lee,2011
Plácido Domingo,2011
Ruth Bader Ginsburg,2011
Dudley Herschbach,2011
James R. Houghton,2011
Ellen Johnson Sirleaf,2011
Rosalind Krauss,2011
John G.A. Pocock,2011
David Satcher,2011
John Adams,2012
K. Anthony Appiah,2012
Gillian Beer,2012
Walter Kohn,2012
Wendy Kopp,2012
John Lewis,2012
Mario Molina,2012
Fareed Zakaria,2012
José Abreu,2013
Partha Dasgupta,2013
Donald R. Hopkins,2013
Robert M. May,2013
Thomas M. Menino,2013
Elaine Pagels,2013
C. Dixon Spangler Jr.,2013
JoAnne Stubbe,2013
Oprah Winfrey,2013
Isabel Allende,2014
Michael Bloomberg,2014
President George H.W. Bush,2014
Aretha Franklin,2014
Patricia King,2014
Peter H. Raven,2014
Seymour Slive,2014
Joseph E. Stiglitz,2014
Svetlana Leontief Alpers,2015
Robert M. Axelrod,2015
Wallace S. Broecker,2015
Linda B. Buck,2015
Renée Fleming,2015
Patricia Albjerg Graham,2015
Denis Mukwege,2015
Deval L. Patrick,2015
Peter Salovey,2015
Bryan Stevenson,2015
El Anatsui,2016
Mary L. Bonauto,2016
His Excellency Fernando Henrique Cardoso,2016
David B. Davis,2016
Elaine Fuchs,2016
Arnold Rampersad,2016
The Right Honourable Lord Martin Rees,2016
Steven Spielberg,2016
Judith Jarvis Thomson,2016
Norman R. Augustine,2017
Hawa Abdi Dhiblawe,2017
Dame Judi Dench,2017
Sandra M. Gilbert,2017
James Earl Jones,2017
Walter E. Massey,2017
Michael Rabin,2017
John Williams,2017
Huda Y. Zoghbi,2017
Mark Zuckerberg,2017
