Isabel Allende
Cory A. Booker
Clara Franzini-Armstrong
Terry Gross
Ada Sue Hinshaw
Robert Parris Moses
Paul Muldoon
Hawa Abdi
Elizabeth E. Bailey
David Brooks
Renée Fleming
Sylvester James Gates Jr.
Asma Jahangir
Eric R. Kandel
Lin-Manuel Miranda
Arthur K. Asbury
Lee C. Bollinger
Joan Myers Brown
Rita Moreno
Ellen Ochoa
Samantha Power
Cass R. Sunstein
Eugenio Calabi
Johnnetta Betsch Cole
Edna Adan Ismail
John Legend
Raymond G. Perelman
Olympia Snowe
George A. Weiss
Kwame Anthony Appiah
Joseph R. Biden Jr.
Ursula Burns
Ngozi Okonjo-Iweala
Samuel H. Preston
Ellen Mosley-Thompson
Lonnie G. Thompson
James Edward West
Ruzena Bajcsy
Geoffrey Canada
Akira Endo
Peter D. Lax
John R. Lewis
David H. Petraeus
Anna Deavere Smith
Renée C. Fox
Mo Ibrahim
Nicholas Kristof
Sheryl Wudunn
Ei-ichi Negishi
Joyce Carol Oates
Denzel Washington
Sandra Faber
Paul Farmer
Jon M. Huntsman Jr.
Risa J. Lavizzo-Mourey
Greg Mortenson
Peter C. Nowell
James S. Riepe
Yvon Chouinard
George H. Crumb
Jennifer Yvonne Mokgoro
Eric E. Schmidt
Susan Solomon
Muhammad Yunus
Michael Bloomberg
Paquito D'Rivera
Drew Gilpin Faust
Lila Gleitman
Bert W. O'Malley
Cyril Ramaphosa
Neil deGrasse Tyson
James A. Baker Iii
Aaron Temkin Beck
Caroline W. Bynum
Mildred Dresselhaus
Aretha Franklin
Shirley Franklin
Ruth Bader Ginsburg
Jodie Foster
Henry Louis Gates Jr.
Shirley Ann Jackson
Lawrence Klein
Judith Pollock Klinman
Steve Wynn (stricken)
Kofi Annan
Quincy Jones
Saul Kripke
Ralph Roberts
Judy Woodruff
Nancy Fugate Woods
Bono
Elizabeth Blackburn
Lee Friedlander
Jaroslav Pelikan
Max Roach
Judith Rodin
Stephen Breyer
Herbert J. Gans
Sadako Ogata
Mamphela Aletta Ramphele
Philip Roth
Desmond Tutu
Joan Ganz Cooney
Eric Hobsbawm
Irwin Jacobs
Jim Lehrer
Richard Smalley
Peter C. Doherty
Andrés M. Duany
Elizabeth Plater-Zyberk
Daniel Kahneman
John S. Mccain
Ruth J. Simmons
John N. Bahcall
Mary Douglas
Ronald Dworkin
Seamus Heaney
Wynton Marsalis
Edward G. Rendell
Isabella Lugoski Karle
Billie Jean King
Gerda Lerner
Robert E. Rubin
Earl Reece Stadtman
P. Roy Vagelos
Arlin M. Adams
Jimmy Carter
Francis S. Collins
Frank Moore Cross
Alan Greenspan
Jessye Norman
Stanley B. Prusiner
Shirley Sears Chater
William H. Danforth
Gary Graffman
Richard A. Posner
Louis Sokoloff
Simone Veil
Charles Kaufman II Williams
Ahmed H. Zewail
Tom Brokaw
Rita Dove
Helen Frankenthaler
Moshe Greenberg
Jon M. Huntsman
Arnold J. Levine
Nabeel Sha'Ath
Maurice Wilkes
Jane Alexander
Stanley Norman Cohen
Mary Maples Dunn
Harry Barkus Gray
Emmanuel Le Roy Ladurie
Alvin Varner Shoemaker
Donald M. Stewart
Gloria Twine Chisum
Henry G. Cisneros
Claire M. Fagin
Mary Ellen Mark
Denise Scott Brown
Samuel O. Thier
PHILIP V. Tobias
Miriam Ben-Porat
Jeanne Quint Benoliel
Hillary Rodham Clinton
Alfred Gellhorn
Francis Sheldon Hackney
Lucy Judkins Durr Hackney
Ralph Landau
William Julius Wilson
K. Jon Barwise
Candice Bergen
Rupert E. Billingham
John R. Casani
James P. Comer
Natalie Zemon Davis
Chen Fu Koo
Ismail Mahomed
Arno A. Penzias
Arthur Ross
Stephen Jay Gould
Judith Jamison
Ted Koppel
Turgut Ozal
James Bennett Pritchard
Claude E. Shannon
Rebecca Pepper Sinkler
Charles Samuel Wolf
Baruch Samuel Blumberg
Barbara Pierce Bush
William Henry Cosby Jr. (stricken)
Raymond Davis Jr.
Balkrishna Vithaldos Doshi
Joseph Esherick
Izrael Moiseevich Gelfand
Jane Goodall
Lawrence Halprin
Charles Everett Koop
Akio Morita
Sir Peter Shepheard
Sir David Cecil Smith
Faye Wattleton
Tatyana Ivanovna Zaslavskaya
Edward Digby Baltzell
Ruth Wright Hayre
Arnold Seymour Relman
Janet Davison Rowley
Mike Wallace
Joseph William Burk
Ornette Coleman
Anne D'Harnoncourt (Rishel)
Charles Denston Dickey Jr.
William Herbert III Gray
Vartan Gregorian
Henry Max Hoenigswald
Chloe Anthony Morrison
Patricia Scott Schroeder
Robert Austrian
Thomas Ehrlich
Kent Vaughn Flannery
Edgar Kaufmann Jr.
Margaret Eliza Kuhn
Bernard Lewis
Floyd Glenn Lounsbury
Machteld Johanna Mellink
Riccardo Muti
Erica Reiner
Robert Bocking Stevens
David Mackenzie Wilson
Julius Axelrod
Michael Stuart Brown
Rebecca Jean Brownlee
Athol Harold Lanigan Fugard
Charles Antony Richard Hoare
Richard Manning Karp
Donald Ervin Knuth
Estée Lauder
Allen Newell
Herman Paul Schwan
Lawrence Stone
John Edgar Wideman
Leonore Annenberg
Lillian Sholtis Brunner
Britton Chance
Edward Emil David Jr.
Marian Wright Edelman
Samuel Eilenberg
Danny Kaye
Katherine Anne Kendall
Thomas Adeoye Lambo
Donald Newton Langenberg
Harold Lewis
Ruth Watson Lubic
Margaret Redfield Mainwaring
Mary Patterson Mcpherson
George Almon Munger
Hilary Whitehall Putnam
George Rochberg
David Elliott Rogers
Henry Salvatori
Roland Walter Schmitt
Thelma Mermelstein Schorr
Frederick Seitz
Mark Whittier Allam
Edmund Norwood Bacon
August Adolphus III Busch
Roger Andrew Caras
Avram Noam Chomsky
Mildred Cohn
Fitz Eugene Dixon Jr.
John Whiley Eckman
Rudolf Fankhauser
W. Wilson Goode
Carolyn G. Heilbrun
Sir Andrew Fielding Huxley
Ainsley Iggo
Charles Poor 2nd Kindleberger
Arthur Asher Miller
John Brown Neff
Susumu Ohno
Ruth Patrick
Benjamin Quarles
Theodora Ayer Randolph
Margaret McGrath Rockefeller
Andrei Dmitriyevich Sakharov
Ernest Jackson Lawson Soulsby
Otto Springer
André Watts
Nochem Samuel Winnet
John Harrison Burnett
Henry Martyn II Chance
Ansley Johnson Coale
Norman Christopher Francis
Shelomo Dov Goitein
Ellen Holtz Goodman
Fritz Otto Haas
Sir George Porter
Chaim Potok
Charles Coale Price
Jessie May Scott
Glenn Theodore Seaborg
Isaac Starr
Jerome Bert Wiesner
Esmond Wright
Sterling Allan Brown
Helen Octavia Dickens
E. Jules Francois
Nelson Goodman
Carl Kupfer
Es'kia Mphalele
Arnall Patz
Charles Louis Schepens
Robert Lincoln Trescher
Torsten Nils Wiesel
Edwin 2nd Wolf
Comer Vann Woodward
Peter Ferdinand Drucker
John Hope Franklin
Vernon Eulion Jordan Jr.
Stella Kramrisch
Robert Strange Mcnamara
Paul Fetterolf Miller Jr.
Sybil Collins Mobley
Lyman Cunningham Ogilby
Francis Otto Schmitt
Elmer Boyd Staats
Charles Samuel Addams
The Lord Annan
Nnamdi Azikiwe
Reginald Harold Jones
Sol Myron Linowitz
Jerre Gerlando Mangione
James Albert Michener
Robert Venturi
Chien-Shiung Wu
Ruth Josephine Dean
William Theodore Golden
Joshua Lederberg
Charles Brelsford Mccoy
Wade Hampton Mccree
Robert King Merton
Garry Trudeau
Jacqueline Grennan Wexler
Art Buchwald
Lester William Burket
Julius Hiram Comroe Jr.
Clifton Orrin Dummett
Pierre Emmanuel
Robert Frank
Hans Frauenfelder
Henry Maurice Goldman
Louis Irwin Grossman
Patricia Roberts Harris
Theodore Martin Hesburgh
Wilton Marion Krogman
Gordon Norton Ray
Harold Glendon Scheie
John Haines III Ware
Robert Orville Anderson
Gwendolyn Brooks
Ernst Hans Josef Gombrich
Hubert Horatio Humphrey
Eleanor Biddle Lloyd
Saunders Maclane
Eugene Percival Pendergrass
Daniel Aaron
Kenneth Joseph Arrow
John Bardeen
Warren Earl Burger
William Thaddeus Coleman Jr.
Henry Steele Commager
Marcus Falkner Cunliffe
James Anderson Depriest
John Thomas Dunlop
Thomas Irwin Emerson
Benjamin Franklin
James William Fulbright
Valéry Giscard D'Estaing
Israel Goldstein
Henry Russell Hitchcock
Shirley Mount Hufstedler
Ivor Nöel Hume
Hugh Esmor Huxley
Ada Louise Huxtable
Philip Caryl Jessup
Howard Mumford Jones
Leonid Vital'evich Kantorovich
Carl Kaysen
Tjalling Charles Koopmans
Simon Smith Kuznets
Harold Dwight Lasswell
Wassily W. Leontief
Edward Hirsch Levi
Margaret Mead
Clarence Morris
Vernon Benjamin Mountcastle Jr.
Sir Nikolaus Pevsner
Curt Paul Richter
Lionel Charles Robbins
Walter Alter Rosenblith
Paul Anthony Samuelson
Edward Shils
Frank Stanton
Joan duPlat Taylor
Howard Martin Temin
Assadollah Alam
Edward J. Bloustein
William Gordon Bowen
Gerald Rudolph Ford
Thomas Ashley Graves Jr.
Hrothgar John Habakkuk
Avraham Harman
Aloysius Leon Higginbotham Jr.
Matina Souretis Horner
Donald Frederick Hornig
John George Kemeny
Francis Stewart Leland Lyons
Walton Brooks Mcdaniel
William James Mcgill
Farhang Mehr
Alice Rosemary Murray
Hugh Norwood Robson
John Steven Watson
Charles Haynes Wilson
Edward Maitland Wright
Sadie Tanner Mossell Alexander
William Oliver Baker
Louis Barkhouse Flexner
Richard Buckminster Fuller
Grace Murray Hopper
Talcott Parsons
Howard Charles Petersen
John Robinson Pierce
Cyril Stanley Smith
Sarkes Tarzian
Morris Wolf
Harold Lionel Zellerbach
Christian Boehmer Anfinsen
Mary Eakin Crooks
Leonard Davis
Gerald Maurice Edelman
Jerome Heartwell Holland
Roy Harris Jenkins
Clark Kerr
Leon Levy
John Robert Schrieffer
Ernest Scott
George Pratt Shultz
Louise Elkins Sinkler
Morris Simon Viteles
Willis Jay Winn
William Gordon Bowen
Thomas Childs Cochran
Robert Galbraith Dunlop
Nancy Hanks
John Hilton Knowles
Yu Hsiu Ku
Harold Francis Linder
The Rt. Hon. Earl of Burma K. G. Mountbatten
Emily Hartshorne Mudd
George Holmes Perkins
Donald Thomas Regan
Andrew Wyeth
Robert Dougherty Cross
William Lang Day
Haldan Keffer Hartline
Philip Bernhard Hofmann
Louis Isadore Kahn
Virginia Harrington Wright Knauer
Harold Smith Prince
David Riesman
Leon Howard Sullivan
George William Taylor
Rexford Guy Tugwell
Francis Clark Wood
Orville Horwitz Bullitt
Jefferson Barnes Fordham
David Rockwell Goddard
Jerzy Konorski
Charles Martin
Martin Meyerson
Ieoh Ming Pei
Dorothy Swaine Thomas
Elmer Holmes Bobst
Robert Bruce Brown
Otis Howard Green
Barbara Ward Jackson
Samuel Noah Kramer
Marshall Warren Nirenberg
Stuart Thomas Saunders
Bernard Gerard Segal
Randall Thompson
Frank Learoyd Boyden
John Royston Coleman
Jacob Furth
Frederick Mortimer Graves
Neal Elgar Miller
William Samuel Paley
Johan Thorsten Sellin
John Archibald Wheeler
Howard III Butcher
Aaron Everly Carpenter
Charles Klein
Seymour Jacob Kreshover
Nils LagerlÖF
Benjamin Dean Meritt
James Alfred Perkins
Raymond Philip Shafer
Robert Ernest Spiller
Esther du Pont Thouron
Charles Raymond Whittlesey
Walter Hubert Annenberg
William Bosworth Castle
Ronald Salmon Crane
Glenn Raymond Morrow
John Newsom
Roy Franklin Nichols
Jean Piaget
Edgar Preston Richardson
Howard Lane Rubendall
Hugh Scott
Roger Huntington Sessions
Robert Clifton Weaver
George Packer Berry
Kingman Brewster Jr.
John Bruce
George Washington Corner
Rene Jules Dubos
John Heysham Gibbon
Wilfred Donnell Gillen
Lister Hill
Seymour Solomon Kety
Hans Adolf Krebs
Richard King Mellon
Charles Coolidge Parlin
Carl Frederic Schmidt
Georg Von BÉKÉSy
George Wells Beadle
John Presper Eckert
John Franklin Enders
Roy Forbes Harrod
Arthur Kornberg
Severo Ochoa
Rosemary Park
William Warren Scranton
Lawrence Baker Sheppard
Wendell Meredith Stanley
Joseph Stokes Jr.
Marietta Peabody Tree
Marvin Wachman
William Norman Brown
Joseph Sill Clark
Lammot duPont Copeland
Andrew Wellington Cordier
Walter Gellhorn
Alfred Irving Hallowell
John Marshall Harlan
Christian Archibald Herter
Charles Peter Beauchamp Jeffreys
Francis Keppel
Giuseppe Moruzzi
Henry Rawle Pemberton
John Alanson Perkins
Sarvepalli Radhakrishnan
William Abraham Schnader
David Van Pelt
John Chipman
Merle Eugene Curti
James Frederic Dewhurst
Clarence Douglas Dillon
Henry Francis Du Pont
Ahmed Fakhry
Félix Houphouet-Boigny
John Frederick Lewis Jr.
Percy Childs Madeira Jr.
Adolfo Molina-Orantes
Muhammed Reza Shah Pahlavi
Hans Rademacher
John Eric Sidney Thompson
Joseph Treloar Wearn
George Dunton Widener
Arthur Stanton Adams
Albert Croll Baugh
Henry LeRoy Bockus
Hugh Borton
Francis Boyer
Richardson Dilworth
Crawford Hallock Greenewalt
Edward George Harris
William Henry Hastie
Eugene Ormandy
Arnold Joseph Toynbee
Eugene Paul Wigner
John Cromwell Bell
Millard Elwood Gladfelter
Nelson Glueck
George Bogdan Kistiakowski
John William Knutson
John William Mauchly
John Jay Mccloy
Jonathan Evans Rhoads
Lauriston Sale Taylor
Jacob Viner
Eric Arthur Walker
Robert Stevenson Aitken
Jasper Yeates Brinton
Ralph Connor
Althea Hallowell Kratz Hottel
Dana Greenleaf How
Joseph Victor Klauder
David Leo Lawrence
Esther Lazarus
Hadleigh Marsh
Robert Franklin Mehl
Karl Friedrich Meyer
Isaac Warner Roberts
Virginia Pollard Robinson
Richard Edwin Shope
William Christopher Stadie
Marian Anderson
Willy Brandt
Arthur Frank Burns
Ralph Erskine Cleland
Robert Dechert
Harold Wells Gilbert
Robert Francis Goheen
Arthur Lehman Goodhart
George Morris Piersol
Sigmund Skard
Courtney Craig Smith
Edwin Bucher Williams
William Joseph Brennan Jr.
Arthur Gardiner Coons
Cleo Frank Craig
John Anthony Diemand
Henry Richard Dietrich
