Name,Gender Guesser,Genderizer,Final
Claude E. Shannon,mostly_male,unknown,male
Rebecca Pepper Sinkler,female,female,female
Charles Samuel Wolf,male,male,male
Baruch Samuel Blumberg,male,male,male
Barbara Pierce Bush,female,female,female
William Henry Cosby Jr. (stricken),male,male,male
Raymond Davis Jr.,male,male,male
Balkrishna Vithaldos Doshi,unknown,unknown,male
Joseph Esherick,male,male,male
Izrael Moiseevich Gelfand,unknown,unknown,male
Jane Goodall,female,male,female
Lawrence Halprin,male,male,male
Charles Everett Koop,male,male,male
Akio Morita,male,male,male
Sir Peter Shepheard,unknown,unknown,male
Sir David Cecil Smith,unknown,unknown,male
Faye Wattleton,female,female,female
Tatyana Ivanovna Zaslavskaya,female,female,female
Edward Digby Baltzell,male,male,male
Ruth Wright Hayre,female,female,female
Arnold Seymour Relman,male,male,male
Janet Davison Rowley,female,female,female
Mike Wallace,male,unknown,male
Joseph William Burk,male,male,male
Ornette Coleman,unknown,unknown,male
Anne D'Harnoncourt (Rishel),female,unknown,female
Charles Denston Dickey Jr.,male,male,male
William Herbert III Gray,male,male,male
Vartan Gregorian,male,male,male
Henry Max Hoenigswald,male,male,male
Chloe Anthony Morrison,female,female,female
Patricia Scott Schroeder,female,female,female
Robert Austrian,male,male,male
Thomas Ehrlich,male,male,male
Kent Vaughn Flannery,male,male,male
Edgar Kaufmann Jr.,male,male,male
Margaret Eliza Kuhn,female,female,female
Bernard Lewis,male,male,male
Floyd Glenn Lounsbury,male,male,male
Machteld Johanna Mellink,female,female,female
Riccardo Muti,male,male,male
Erica Reiner,female,female,female
Robert Bocking Stevens,male,male,male
David Mackenzie Wilson,male,male,male
Julius Axelrod,male,male,male
Michael Stuart Brown,male,male,male
Rebecca Jean Brownlee,female,female,female
Athol Harold Lanigan Fugard,male,male,male
Charles Antony Richard Hoare,male,male,male
Richard Manning Karp,male,male,male
Donald Ervin Knuth,male,male,male
Estée Lauder,unknown,unknown,female
Allen Newell,male,male,male
Herman Paul Schwan,male,male,male
Lawrence Stone,male,male,male
John Edgar Wideman,male,male,male
Leonore Annenberg,female,female,female
Lillian Sholtis Brunner,female,female,female
Britton Chance,male,male,male
Edward Emil David Jr.,male,male,male
Marian Wright Edelman,male,male,male
Samuel Eilenberg,male,male,male
Danny Kaye,male,unknown,male
Katherine Anne Kendall,female,female,female
Thomas Adeoye Lambo,male,male,male
Donald Newton Langenberg,male,male,male
Harold Lewis,male,male,male
Ruth Watson Lubic,female,female,female
Margaret Redfield Mainwaring,female,female,female
Mary Patterson McPherson,mostly_female,unknown,female
George Almon Munger,male,unknown,male
Hilary Whitehall Putnam,female,female,female
George Rochberg,male,unknown,male
David Elliott Rogers,male,male,male
Henry Salvatori,male,male,male
Roland Walter Schmitt,male,male,male
Thelma Mermelstein Schorr,female,female,female
Frederick Seitz,male,male,male
Mark Whittier Allam,male,male,male
Edmund Norwood Bacon,male,male,male
August Adolphus III Busch,male,male,male
Roger Andrew Caras,male,male,male
Avram Noam Chomsky,male,male,male
Mildred Cohn,female,female,female
Fitz Eugene Dixon Jr.,unknown,male,male
John Whiley Eckman,male,male,male
Rudolf Fankhauser,male,male,male
W. Wilson Goode,unknown,unknown,male
Carolyn G. Heilbrun,female,female,female
Sir Andrew Fielding Huxley,unknown,unknown,male
Ainsley Iggo,andy,unknown,male
Charles Poor 2nd Kindleberger,male,male,male
Arthur Asher Miller,male,male,male
John Brown Neff,male,male,male
Susumu Ohno,male,male,male
Ruth Patrick,female,female,female
Benjamin Quarles,male,male,male
Theodora Ayer Randolph,female,female,female
Margaret McGrath Rockefeller,female,female,female
Andrei Dmitriyevich Sakharov,male,male,male
Ernest Jackson Lawson Soulsby,male,male,male
Otto Springer,male,male,male
André Watts,unknown,male,male
Nochem Samuel Winnet,unknown,unknown,male
John Harrison Burnett,male,male,male
Henry Martyn II Chance,male,male,male
Ansley Johnson Coale,female,female,female
Norman Christopher Francis,male,male,male
Shelomo Dov Goitein,unknown,unknown,male
Ellen Holtz Goodman,female,unknown,female
Fritz Otto Haas,male,male,male
Sir George Porter,unknown,unknown,male
Chaim Potok,male,male,male
Charles Coale Price,male,male,male
Jessie May Scott,female,unknown,female
Glenn Theodore Seaborg,male,unknown,male
Isaac Starr,male,male,male
Jerome Bert Wiesner,male,male,male
Esmond Wright,male,male,male
Sterling Allan Brown,male,male,male
Helen Octavia Dickens,female,female,female
E. Jules Francois,unknown,unknown,male
Nelson Goodman,male,male,male
Carl Kupfer,male,male,male
Es'kia Mphalele,unknown,unknown,male
Arnall Patz,unknown,unknown,male
Charles Louis Schepens,male,male,male
Robert Lincoln Trescher,male,male,male
Torsten Nils Wiesel,male,male,male
Edwin 2nd Wolf,male,male,male
Comer Vann Woodward,unknown,unknown,male
Peter Ferdinand Drucker,male,male,male
John Hope Franklin,male,male,male
Vernon Eulion Jordan Jr.,male,male,male
Stella Kramrisch,female,female,female
Robert Strange Mcnamara,male,male,male
Paul Fetterolf Miller Jr.,male,male,male
