Name,Gender Guesser,Genderizer,Final
Walden II Pell,unknown,unknown,unknown
Florence Barbara Seibert,female,female,female
Leslie Richard Severinghaus,mostly_female,unknown,unknown
Edward Valentine Stanford,male,male,male
Arthur T. Vanderbilt,male,male,male
Harry Shultz Vandiver,male,male,male
Leonard Augustus Yerkes,male,male,male
Milo Frederick Draemel,male,male,male
Charles Francis Jenkins,male,male,male
Jacob Clemens Kolb,male,male,male
George Simpson Koyl,male,unknown,unknown
Ralph Barton Perry,male,male,male
Edgar Arthur Singer Jr.,male,male,male
William Loren Batt,male,male,male
Edwin Grant Conklin,male,male,male
Rufus Henry Fitzgerald,male,male,male
Ernest Hutcheson,male,male,male
George Johnson,male,unknown,unknown
Edward Martin,male,male,male
George Wendell Maxey,male,unknown,unknown
Joyce (Jan Struther) Maxtone-Graham,female,unknown,unknown
Mildred Helen Mcafee,female,female,female
John Edwin Pomfret,male,male,male
Henning Webb Prentis Jr.,male,male,male
James Steven Simmons,male,male,male
Vannevar Bush,unknown,unknown,unknown
Rex Stowers Clements,male,male,male
Henry Sandwith Drinker,male,male,male
Douglas Southall Freeman,male,male,male
Oliver James Hart,male,male,male
George Howard Johnson,male,unknown,unknown
Robert Livingston Johnson,male,male,male
Ernest Orlando Lawrence,male,male,male
Katharine Elizabeth Mcbride,female,female,female
Remsen Brinckerhoff Ogilby,unknown,unknown,unknown
Edward Kennard Rand,male,male,male
Wilbert Barnes Smith,male,male,male
Adolphus Eugene Watson,male,male,male
Lewis Hill Weed,male,male,male
Archibald Macleish,male,male,male
Felix Muskett Morley,male,male,male
John William Nason,male,male,male
John Joseph Shaw,male,male,male
Sarah Logan Wister Starr,female,female,female
Francis Henry Taylor,male,unknown,unknown
Richard Wilson,male,male,male
John Alexander,male,male,male
William Nickerson Bates,male,male,male
William Henry Beveridge,male,male,male
Henry Wolf BiklÉ,male,male,male
Herbert Eugene Bolton,male,male,male
Cornelius Brett Boocock,male,male,male
John Stewart Bryan,male,male,male
Willa Cather,female,female,female
Charles Cestre,male,male,male
William Mansfield Clark,male,male,male
James Bryant Conant,male,male,male
William Henry Donner,male,male,male
Lyman Poore Duff,male,male,male
William James Entwhistle,male,male,male
Etienne Gilson,male,male,male
Evarts Ambrose Graham,unknown,unknown,unknown
Frank Pierrepont Graves,male,male,male
Samuel McClintock Hamill,male,male,male
Lawrence Joseph Henderson,male,male,male
Herbert Clark Hoover,male,male,male
Arthur Charles Howland,male,male,male
Arthur Horace James,male,male,male
John Story Jenks,male,male,male
Herbert Spencer Jennings,male,male,male
Frank Baldwin Jewett,male,male,male
Elizabeth Forrest Johnson,female,female,female
Carl Kelsey,male,male,male
Conrad Newton Lauer,male,male,male
James Pendleton Lichtenberger,male,male,male
William Ezra Lingelbach,male,male,male
Horace Mather Lippincott,male,male,male
Jacques Maritain,male,male,male
Clarence Erwin Mcclung,male,male,male
George Herbert Meeker,male,unknown,unknown
Wesley Clair Mitchell,male,male,male
Charles Samuel Myers,male,male,male
Reinhold Niebuhr,male,male,male
George Stewart Patterson,male,unknown,unknown
Frederick Logan Paxson,male,male,male
Henry Augustus Pilsbry,male,male,male
William E. Rappard,male,male,male
Fritz Reiner,male,male,male
William Procter Remington,male,male,male
David Riesman,male,male,male
Franklin Delano Roosevelt,male,male,male
John Ahlum Schaeffer,male,male,male
Albert Schinz,male,male,male
Charles Seymour,male,male,male
Hu Shih,andy,unknown,unknown
Harold Paul Sloan,male,male,male
Philip Clayton Staples,male,male,male
Alexander Jerry Stoddard,male,male,male
Carl Van Doren,male,male,male
Alan John Bayard Wace,male,male,male
Hermann Weyl,male,male,male
James Thomas Young,male,male,male
Charlotte Carr,female,female,female
Ernest Charles Earp,male,male,male
John Louis Haney,male,male,male
Joel Henry Hildebrand,male,male,male
Samuel Frederic Houston,male,male,male
Edward Johnson,male,male,male
William Huestis Keller,male,male,male
Edward Warloch Mumford,male,male,male
Francis Randolph Packard,male,unknown,unknown
Josiah Harmar Penniman,male,male,male
William Irwin Schaffer,male,male,male
Joseph Henry Willits,male,male,male
James Rowland Angell,male,male,male
George David Birkhoff,male,unknown,unknown
Wollmar Filip Bostrom,unknown,unknown,unknown
Katherine Cornell,female,female,female
Arthur Louis Day,male,male,male
Johannes Sigfrid Edstrom,male,male,male
H.R.H. Crown Prince of Sweden Gustav Adolf,unknown,unknown,unknown
Augustus Noble Hand,male,male,male
Gilbert Newton Lewis,male,male,male
Herbert Meredith Marler,male,male,male
Louis Martin,male,male,male
Thomas Hunt Morgan,male,male,male
John Duncan Spaeth,male,male,male
James Isaac Wendell,male,male,male
Kaj Birket-Smith,male,male,male
Vere Gordon Childe,unknown,male,unknown
Martin Withington Clement,male,male,male
Fred Pierce Corson,male,male,male
Edmund Ezra Day,male,male,male
Samuel Smith Drury,male,male,male
Samuel Simeon Fels,male,male,male
Dorothy Annie Elizabeth Garrod,female,female,female
Cordell Hull,male,male,male
John William Kephart,male,male,male
Eugene Ormandy,male,male,male
Florence Rena Sabin,female,female,female
Herbert James Tily,male,male,male
Joseph Wayne Jr.,male,male,male
Lightner Witmer,unknown,unknown,unknown
Gustavus Wynne Cook,unknown,male,unknown
Harold Willis Dodds,male,male,male
Joseph Erlanger,male,male,male
Robert Frost,male,male,male
Herbert Spencer Gasser,male,male,male
Richard Knowles,male,male,male
John Campbell Merriam,male,male,male
James Grafton Rogers,male,male,male
Otis Skinner,male,male,male
Walter Brooke Stabler,male,male,male
Isaiah Bowman,male,male,male
Robert Sellers Frazer,male,male,male
Jessie Gray,female,unknown,unknown
Learned Hand,unknown,unknown,unknown
Louis Amos Klein,male,male,male
William Mather Lewis,male,male,male
Joshua Bertram Lippincott,male,male,male
Clarence James Marshall,male,male,male
Alfred Edward Newton,male,male,male
Charles Russ Richards,male,male,male
Leunis Van Es,unknown,unknown,unknown
George Woodward Wickersham,male,unknown,unknown
John Gabbert Bowman,male,male,male
Edwin Cornelius Broome,male,male,male
Charles Meigs Biddle Cadwalader,male,male,male
Dorothy Harrison Eustis,female,female,female
Ralph Dorn Hetzel,male,male,male
James Noble Rule,male,male,male
William Gibson Spiller,male,male,male
Harlan Fiske Stone,male,male,male
Thomas Whitney Surette,male,male,male
Joseph Sweetman Ames,male,male,male
Arthur Henry Reginald Buller,male,male,male
Charles W. Burr,male,male,male
Samuel Paul Capen,male,male,male
Luther Pfahler Eisenhart,male,male,male
Robert Almer Harper,male,male,male
Milo Hellman,male,male,male
Joseph Hofmann,male,male,male
Horace Howard Furness Jayne,male,male,male
Herbert Spencer Jennings,male,male,male
Abbott Lawrence Lowell,unknown,male,unknown
Albert Hawley Lucas,male,male,male
John Valentine Mershon,male,male,male
Leroy Matthew Simpson Miner,male,male,male
Marion Edwards Park,female,unknown,unknown
Alfred Rigling,male,male,male
Horace Stern,male,male,male
Charles Root Turner,male,male,male
Frederic James Eugene Woodbridge,male,male,male
Mary Louise Curtis Bok,mostly_female,unknown,unknown
Benjamin Nathan Cardozo,male,male,male
William Purves Gest,male,male,male
Barton Cooke Hirst,male,male,male
Warren Powers Laird,male,male,male
Roland Sletor Morris,male,male,male
William Pepper,male,male,male
Alfred Newton Richards,male,male,male
Harlow Shapley,male,male,male
Thomas Shaw,male,male,male
Alexander Van Rensselaer,male,male,male
Edgar Douglas Adrian,male,male,male
Charles Ezra Beury,male,male,male
Gilbert Haven Fall,male,male,male
Thomas Sovereign Gates,male,male,male
Solomon Stephen Huebner,male,male,male
Joanna Wharton Lippincott,female,female,female
Horatio Gates Lloyd,male,male,male
George William Mcclelland,male,unknown,unknown
Howard Mcclenahan,male,male,male
James DeWolf Perry Jr.,male,male,male
Arthur H. Quinn,male,male,male
George Franklin Rand,male,unknown,unknown
Leo Stanton Rowe,male,male,male
Olga Samaroff,female,female,female
Henry Lewis Stimson,male,male,male
Cornelius Weygandt,male,male,male
Daniel Willard,male,male,male
Robert Sessions Woodworth,male,male,male
Henry Newbold Woolman,male,male,male
Cyrus Adler,male,male,male
Edward E. Allen,male,male,male
Clarence Griffin Child,male,male,male
James Francis Cooke,male,male,male
Hugh Smith Cumming,male,male,male
Walter Morley Fletcher,male,male,male
John Marshall Gest,male,male,male
Cheesman Abiah Herrick,unknown,unknown,unknown
Archibald Vivian Hill,male,male,male
James Ramsay Hunt,male,male,male
William Gerry Morgan,male,male,male
Julio Prestes,male,male,male
Theobald Smith,male,male,male
Alfred Stengel,male,male,male
Alonzo Englebert Taylor,male,male,male
Henry Gordon Thunder,male,male,male
Alexander Von Lichtenberg,male,male,male
William Henry Welch,male,male,male
Cyrus E. Woods,male,male,male
Francis Herman Bohlen,male,unknown,unknown
Simon Flexner,male,male,male
Herbert Funk Goodrich,male,male,male
Herbert Eugene Ives,male,male,male
Nicholas Longworth,male,male,male
John Vaughan 3rd Merrick,male,male,male
William Ephraim Mikell,male,male,male
William Augustus Redding,male,male,male
Owen Josephus Roberts,male,male,male
James Meschter Anders,male,male,male
Samuel Taylor Bodine,male,male,male
John Stutchell Fisher,male,male,male
Milton Jay Greenman,male,male,male
Eldridge Reeves Johnson,male,male,male
John James Rickard Macleod,male,male,male
Robert Tait Mckenzie,male,male,male
Andrew William Mellon,male,male,male
Effingham Buckley Morris,unknown,unknown,unknown
Frank Brett Noyes,male,male,male
Sir Humphry Davy Bart. Rolleston,unknown,unknown,unknown
Ernest Henry Schelling,male,male,male
Charles Wesley Shreiner,male,male,male
John Edward Zimmerman,male,male,male
Henry Sturgis Dennison,male,male,male
Howard Elliott,male,male,male
Miles Farrow,male,male,male
John Huston Finley,male,male,male
John Ripley Freeman,male,male,male
John Hays Hammond,male,male,male
Josiah Calvin Mccracken,male,male,male
Milton Bennett Medary Jr.,male,male,male
Samuel Edmond Osbourn,male,male,male
Charles Adams Platt,male,male,male
Charles Williamson Richardson,male,male,male
Abraham Simon Wolf Rosenbach,male,male,male
George David Rosengarten,male,unknown,unknown
Charles Michael Schwab,male,male,male
Arthur Webster Thompson,male,male,male
Edwin Mood Wilson,male,male,male
Florestan Aguilar,male,male,male
Robert Anderson,male,male,male
George Archibald Brakeley,male,unknown,unknown
Alonzo Brown,male,male,male
Olin Howard Burritt,male,male,male
Ernst Cohen,male,male,male
Prince Ginori Conti,male,male,male
Walter Johannes Damrosch,male,male,male
Wilson Eyre,male,male,male
William Henry Gilmour,male,male,male
George Byron Gordon,male,unknown,unknown
William Guy,male,male,male
James Colquhoun Irvine,male,male,male
Edward Jackson,male,male,male
Ernst Jessen,male,male,male
Frank Billings Kellogg,male,male,male
Leon Legrain,male,male,male
William Draper Lewis,male,male,male
Louis Childs Madeira Jr.,male,male,male
Dwight Whitney Morrow,male,male,male
Harris Peyton Mosher,male,male,male
Robert Norwood,male,male,male
Walter Robert Parker,male,male,male
Hermann Prinz,male,male,male
Paul Sabatier,male,male,male
Herman Vandenburg Ames,male,male,male
John Ashhurst,male,male,male
Bertrand Dawson,male,male,male
Boyd Edwards,male,male,male
Livingston Farrand,unknown,unknown,unknown
Charles Harrison Frazier,male,male,male
Thomas James Garland,male,male,male
Greville Haslam,unknown,unknown,unknown
John Frederick Lewis,male,male,male
Rudolph Matas,male,male,male
Harry Alexander Matthews,male,male,male
Charles Horace Mayo,male,male,male
John Robbins Mohler,male,male,male
Alfred Newton Richards,male,male,male
Robert William Rogers,male,male,male
John Carew Rolfe,male,male,male
Ray Lyman Wilbur,mostly_male,unknown,unknown
Hubert Work,male,male,male
Frank Aydelotte,male,male,male
William Henry Bragg,male,male,male
John Joseph Carty,male,male,male
Cyrus Hermann Kotzschmar Curtis,male,male,male
William Charles Lawson Eglin,male,male,male
Charles Fabry,male,male,male
Robert Heywood Fernald,male,male,male
Clarence Stanley Fisher,male,male,male
Walter E. Hering,male,male,male
Charles Merrill Hough,male,male,male
John Henry Maccracken,male,male,male
Richard Beatty Mellon,male,male,male
John Bassett Moore,male,male,male
Charles Algernon Parsons,male,male,male
Harold Pender,male,male,male
James Taggart Priestley,male,male,male
Edwin Wilbur Rice Jr.,male,male,male
Frank Julian Sprague,male,male,male
Edward Rhodes Stitt,male,male,male
Ambrose Swasey,male,male,male
Elihu Thomson,male,male,male
Edward Weston,male,male,male
Anne Hollingsworth Wharton,female,unknown,unknown
Stanley Rhoads Yarnall,male,male,male
Pieter Zeeman,male,male,male
John Drew,male,male,male
Richard Mott Gummere,male,male,male
Chevalier Jackson,unknown,unknown,unknown
Kenneth Gordon Matheson,male,male,male
Andrew Jackson Montague,male,male,male
Joseph John Thomson,male,male,male
Sir Henry Worth Thornton,unknown,unknown,unknown
Arthur William Currie,male,male,male
William Duane,male,male,male
Josiah Harmar Penniman,male,male,male
John Joseph Pershing,male,male,male
George Arthur Piersol,male,unknown,unknown
Edward Townsend Stotesbury,male,male,male
Robert Von Moschzisker,male,male,male
Theophilous Parsons Chandler,unknown,unknown,unknown
Marie Curie,female,unknown,unknown
George Walter Dawson,male,unknown,unknown
Herbert Edward Everett,male,male,male
Ferdinand Foch,male,male,male
Hobart Amory Hare,male,male,male
Ernest Martin Hopkins,male,male,male
William Rutherford Mead,male,male,male
James Hartley Merrick,male,male,male
William Romaine Newbold,male,male,male
Paul Shorey,male,male,male
Charles Howard Walker,male,male,male
Albert Jeremiah Beveridge,male,male,male
Thomas Edward Finegan,male,male,male
Edward J. Fox,male,male,male
William Henry Fox,male,male,male
Herbert Adams Gibbons,male,male,male
Robert Johnston,male,male,male
John Muirhead Macfarlane,male,male,male
Leslie William Miller,mostly_female,unknown,unknown
Alfred Edward Newton,male,male,male
George Boal Orlady,male,unknown,unknown
Theodore William Richards,male,male,male
William Sowden Sims,male,male,male
Edgar Fahs Smith,male,male,male
Francis Marion Taitt,male,unknown,unknown
Henry Davis Todd Jr.,male,male,male
Louis Cape Washburn,male,male,male
William Wallace Atterbury,male,male,male
Arthur Hopewell-Smith,male,male,male
William Williams Keen,male,male,male
Charles Penrose Keith,male,male,male
John Clark Knox,male,male,male
Edward Martin,male,male,male
Jonathan Willis Martin,male,male,male
Harlan Sherman Miner,male,male,male
Richard Montgomery,male,male,male
Frederick Peterson,male,male,male
Charles Lee Reese,male,male,male
William Cameron Sproul,male,male,male
John Frederick Wolle,male,male,male
Frank Miles Day,male,male,male
Robert Alexander Falconer,male,male,male
Henry Page,male,male,male
James Hosmer Penniman,male,male,male
Robert Judson Aley,male,male,male
William Wistar Comfort,male,male,male
Arthur Maurice Greene Jr.,male,male,male
Zane Grey,female,male,unknown
Herbert Clark Hoover,male,male,male
Joseph Jacques Césaire Joffre,male,male,male
William Kelly Jr.,male,male,male
Frederic Courtland Penfield,male,male,male
Jacob Gould Schurman,male,male,male
Leopold Stokowski,male,male,male
Charles Franklin Thwing,male,male,male
René Viviani,unknown,unknown,unknown
Henry Galbraith Ward,male,male,male
Jacob Hay Brown,male,male,male
Horace Howard Furness Jr.,male,male,male
Herbert Sherman Houston,male,male,male
Margaret Center Klingelsmith,female,female,female
Samuel Black Mccormick,male,male,male
Charles Karsner Mills,male,male,male
Bliss Perry,unknown,male,unknown
Daniel Lincoln Wallace,male,male,male
Edward Hartley Angle,male,male,male
Green Vardiman Black,unknown,male,unknown
Truman William Brophy,male,male,male
Edwin Tyler Darby,male,male,male
William Dieck,male,male,male
Edouard Charles Godon,male,male,male
Josiah Settle Graves,male,male,male
John Graver Johnson,male,male,male
Harry Frederick Keller,male,male,male
Edward Cameron Kirk,male,male,male
William Ephraim Mikell,male,male,male
Robert Andrews Millikan,male,male,male
John Howard Mummery,male,male,male
William Simon,male,male,male
Eugene Solomon Talbot,male,male,male
Arthur Newell Talbot,male,male,male
John Wanamaker,male,male,male
John Torrey Windrim,male,male,male
George Edmund Deschweinitz,male,unknown,unknown
Sydney George Fisher,mostly_male,unknown,unknown
John Augustus William Haas,male,male,male
Morris Jastrow Jr.,male,male,male
Lucien Lee Kinsolving,male,male,male
Hugo Albert Rennert,male,male,male
Nathan Christ Schaeffer,male,male,male
Henry Harbaugh Apple,male,male,male
Paul Philippe Cret,male,male,male
Edward Vincent D'Invilliers,male,male,male
Henry Pomeroy Davison,male,male,male
George Washington Goethals,male,unknown,unknown
Phillips Lee Goldsborough,unknown,unknown,unknown
Emory Richard Johnson,male,male,male
Henry Spackman Pancoast,male,male,male
George Morris Philips,male,unknown,unknown
Henry Phipps,male,male,male
Edward Tyson Reichert,male,male,male
Witmer Stone,unknown,unknown,unknown
Edward Livingston Trudeau,male,male,male
Alexander Crever Abbott,male,male,male
Edwin Anderson Alderman,male,male,male
John Cadwalader,male,male,male
Louis Adolphus Duhring,male,male,male
Carl Hering,male,male,male
John Grier Hibben,male,male,male
George Woolsey Hodge,male,unknown,unknown
Horace Harmon Lurton,male,male,male
William James Mayo,male,male,male
Philip Mercer Rhinelander,male,male,male
Edward Robins,male,male,male
Joseph Swain,male,male,male
James Tyson,male,male,male
Edward Potts Cheyney,male,male,male
Walton Clark,male,male,male
Henry Sturgis Drinker,male,male,male
Basil Lanneau Gildersleeve,male,male,male
Charles Custis Harrison,male,male,male
Warren Powers Laird,male,male,male
Thomas Riley Marshall,male,male,male
Veranus Alva Moore,unknown,unknown,unknown
James DeWolf Perry Jr.,male,male,male
William Lawrence Saunders,male,male,male
Johann Heinrich Von Bernstorff (stricken),male,male,male
James Montgomery Beck,male,male,male
Morris Lewis Clothier,male,male,male
Charles Evans Hughes,male,male,male
Samuel Rea,male,male,male
Ethelbert Dudley Warfield,unknown,male,unknown
George Smedley Webster,male,unknown,unknown
John Lambert Cadwalader,male,male,male
Samuel Gibson Dixon,male,male,male
Edward Miller Jefferys,male,male,male
Samuel McCune Lindsay,male,male,male
Charles Follen Mckim,male,male,male
Charles Bingham Penrose,male,male,male
Felix Emmanuel Schelling,male,male,male
John Thomson,male,male,male
Cecelia Beaux,female,female,female
Henry Cadwalader Chapman,male,male,male
Joseph Hodges Choate,male,male,male
Edwin Grant Conklin,male,male,male
Grove Karl Gilbert,unknown,male,unknown
Lloyd Mifflin,male,male,male
James Alan Montgomery,male,male,male
Charles Edmund Rice,male,male,male
Edwin Sydney Stuart,male,male,male
Thomas Bailey Aldrich,male,male,male
Craig Biddle,male,male,male
Arthur Erwin Brown,male,male,male
Albert Joseph Edmunds,male,male,male
John Watson Foster,male,male,male
Rudolph Hering,male,male,male
Oliver Huckel,male,male,male
John Arthur Johnson,male,male,male
Howard Atwood Kelly,male,male,male
Hideyo Noguchi,mostly_male,unknown,unknown
Leonard Pearson,male,male,male
George Wharton Pepper,male,unknown,unknown
Joseph George Rosengarten,male,male,male
Thomas Watson Sidwell,male,male,male
Horace Lemuel Wells,male,male,male
Owen Wister,male,male,male
William Phipps Blake,male,male,male
Alois Brandl,male,male,male
William Keith Brooks,male,male,male
Andrew Carnegie,male,male,male
Hampton Lawrence Carson,unknown,male,unknown
George Howard Darwin,male,unknown,unknown
Hugo Devries,male,male,male
Samuel Dickson,male,male,male
His Majesty King of England Edward Vii,male,male,male
John Fritz,male,male,male
James Gayley,male,male,male
Lloyd Carpenter Griscom,male,male,male
James Addison Henry,male,male,male
William Peddle Henszey,male,male,male
Ramon Ibarrola,male,male,male
Joseph Jacobs,male,male,male
Edwin Ames Jaggard,male,male,male
Hendrik Antoon Lorentz,male,male,male
Alexander Mackenzie,male,male,male
John William Mallet,male,male,male
Edgar Marburg,male,male,male
Guglielmo Marconi,male,male,male
John Vaughan Merrick,male,male,male
Mansfield Merriman,unknown,male,unknown
Albert Abraham Michelson,male,male,male
Edward Leamington Nichols,male,male,male
William Paterson Paterson,male,male,male
Edward Charles Pickering,male,male,male
Charles Whiteside Rae,male,male,male
William Clarence Richardson,male,male,male
Ernest Rutherford,male,male,male
William Berryman Scott,male,male,male
Samuel Sheldon,male,male,male
Edgar Fahs Smith,male,male,male
Henry Wilson Spangler,male,male,male
Frederic Pike Stearns,male,male,male
Kanhiro Takaki,unknown,unknown,unknown
Frederick Winslow Taylor,male,male,male
Henry Van Dyke,male,male,male
Samuel Matthews Vauclain,male,male,male
Henri Vetillart,male,male,male
His Majesty King of Italy Vittorio Emanuelle Iii,male,male,male
George Washburn,male,unknown,unknown
Charles Edgar Clark,male,male,male
Henry Mortimer Durand,male,male,male
Philander Chase Knox,unknown,male,unknown
Theodore Roosevelt,male,male,male
David Thompson Watson,male,male,male
His Imperial Majesty Friedrich German Emperor and King of Prussia Wilhelm Ii (stricken),male,male,male
Robert Simpson Woodward,male,male,male
Henry Pickering Bowditch,male,male,male
Russell Henry Chittenden,male,male,male
William Healey Dall,male,male,male
George Dock,male,unknown,unknown
Jean Adrien Antoine Jules Jusserand,male,unknown,unknown
James Tyndale Mitchell,male,male,male
Richard Henry Nelson,male,male,male
Samuel Whitaker Pennypacker,male,male,male
James Whitcomb Riley,male,male,male
Sir Frederick Bart. Treves,unknown,unknown,unknown
James Truman,male,male,male
Hermann Von Speck-Sternburg,male,male,male
Horatio Curtis Wood,male,male,male
Jesse Young Burk,male,unknown,unknown
William Crawford Gorgas,male,male,male
William Mansfield Groton,male,male,male
Alexander Crombie Humphreys,male,male,male
William Peterson,male,male,male
John Singer Sargent,male,male,male
Felix Emmanuel Schelling,male,male,male
Francis Preston Venable,male,unknown,unknown
Charles Doolittle Walcott,male,male,male
John Grimes Walker,male,male,male
Woodrow Wilson,male,male,male
Leonard Wood,male,male,male
Edwin Austin Abbey,male,male,male
Nicholas Murray Butler,male,male,male
Heinrich Conreid,male,male,male
Charles Henry Cramp,male,male,male
William Croswell Doane,male,male,male
Oliver Wolcott Gibbs,male,male,male
Hugh Thomas Henry,male,male,male
David Jayne Hill,male,male,male
Richard Mott Jones,male,male,male
Edward Alexander Macdowell,male,male,male
Willoughby Dayton Miller,unknown,male,unknown
Agnes Repplier,female,female,female
William Howard Taft,male,male,male
Joseph Wharton,male,male,male
Charles Henry Alden,male,male,male
John Hill Brinton,male,male,male
John Sparhawk Jones,male,male,male
George Wallace Melville,male,unknown,unknown
James David Moffat,male,male,male
Thomas Harrison Montgomery,male,male,male
Clement Biddle Penrose,male,male,male
Henry Codman Potter,male,male,male
William L. Prather,male,male,male
Henry Smith Pritchett,male,male,male
George Woodward Wickersham,male,unknown,unknown
James Barr Ames,male,male,male
Porfirio Diaz,male,male,male
Gerard Brown Finch,male,male,male
John Marshall Harlan,male,male,male
Marcus Jastrow,male,male,male
Charles Arthur Roe,male,male,male
Oscar Solomon Straus,male,male,male
Floyd William Tomkins,male,male,male
Ting-fang Wu,unknown,unknown,unknown
William Bowen Boulton,male,male,male
Alfred Craven Harrison Jr.,male,male,male
Lucien Lee Kinsolving,male,male,male
Louis Childs Madeira Jr.,male,male,male
John Bayard Mcpherson,male,male,male
Coleman Sellers,male,male,male
Edgar Fahs Smith,male,male,male
Elwood Worcester,male,male,male
George Frederick Barker,male,unknown,unknown
Agnes Irwin,female,female,female
William Neilson Mcvickar,male,male,male
Ozi William Whitaker,unknown,unknown,unknown
Benjamin West Frazier,male,male,male
Wayne Macveagh,male,male,male
Henry Morton,male,male,male
Louis Fitzgerald Benson,male,male,male
Robert Graham,male,male,male
J. Peter Lesley,unknown,unknown,unknown
Henry Wilson Spangler,male,male,male
Charles Janeway StillÊ,male,male,male
Martin Russell Thayer,male,male,male
William Ely,male,male,male
John Henry Haynes,male,male,male
Herman Volrath Hilprecht,male,male,male
Merrill W. Hollingsworth,male,male,male
John Punnett Peters,male,male,male
Frederick Dawson Stone,male,male,male
Joseph Brevitt Townsend,male,male,male
Talcott Williams,unknown,unknown,unknown
Hamdy Bey,male,unknown,unknown
John Fiske,male,male,male
Casper René Gregory,male,male,male
William Torrey Harris,male,male,male
Alexander Harrison,male,male,male
William Alexander Lamberton,male,male,male
John Bach Mcmaster,male,male,male
Charles Beylard Nancrede,male,male,male
Robert Emory Pattison,male,male,male
William Pepper,male,male,male
George Tybout Purves,male,unknown,unknown
Frederic Ward Putnam,male,male,male
Sara Yorke Stevenson,female,female,female
William Henry Welch,male,male,male
François Amédée Brégy Jr.,unknown,male,unknown
Daniel Garrison Brinton,male,male,male
Hamilton Andrews Hill,male,male,male
Isaac Jones Wistar,male,male,male
Jacob Mandes Dacosta,male,male,male
William Wallace Gilchrist,male,male,male
Richard Coxe Mcmurtrie,male,male,male
Richard Green Moulton,male,male,male
Robert Hamill Nassau,male,male,male
Talcott Williams,unknown,unknown,unknown
Seth Low,male,male,male
William Wilberforce Newton,male,male,male
David Burt Wilson,male,male,male
George Dana Boardman,male,unknown,unknown
George Davidson,male,unknown,unknown
Cyrus David Foss,male,male,male
John Foster Kirk,male,male,male
Alfred StillÊ,male,male,male
David Hayes Agnew,male,male,male
George Stuart Chambers,male,unknown,unknown
Ezra Otis Kendall,male,male,male
John Kemper Murphy,male,male,male
George Pomeroy Allen,male,unknown,unknown
Edward Totterson Bartlett,male,male,male
Ferdinand Vandevere Hayden,male,male,male
Samuel D. Mcconnell,male,male,male
Sabato Morais,male,male,male
John Adam Ryder,male,male,male
Robert Ellis Thompson,male,male,male
Hugh Archibald Clarke,male,male,male
Joseph Parsons Comegys,male,male,male
John Andrews Harris,male,male,male
William Henry Klapp,male,male,male
Joseph Dodgson Newlin,male,male,male
Samuel Powel Jr.,male,male,male
Patrick John Ryan,male,male,male
Theodore Lorenzo Seip,male,male,male
Charles François Bonaventure Miel,male,male,male
Henry Hartshorne,male,male,male
Samuel David Gross,male,male,male
Justin Smith Morrill,male,male,male
Phineas Pemberton Morris,unknown,male,unknown
George Leib Harrison,male,unknown,unknown
Isaac Sharpless,male,male,male
William Wackernagel,male,male,male
George Washington Biddle,male,unknown,unknown
Eli Kirk Price,female,unknown,unknown
William Henry Rawle,male,male,male
James Abram Garfield,male,male,male
Henry Martyn Hoyt,male,male,male
Frederick Fraley,male,male,male
Robert Alexander Lamberton,male,male,male
Redmond Barry,male,male,male
Horace Howard Furness,male,male,male
Charles William Schaeffer,male,male,male
John Welsh,male,male,male
Charles George Currie,male,male,male
Morton Mcmichael,male,male,male
Hermann Joseph Schwarzmann,male,male,male
Joseph Miller Wilson,male,male,male
Samuel Stehman Haldeman,male,male,male
Mark Antony de Wolfe Howe,male,male,male
John Agnew Crawford,male,male,male
Claudius Henry Mastin,male,male,male
Thomas Webb Richards,male,male,male
Philip Friedrich Adolph Theodor Spaeth,male,male,male
John William Wallace,male,male,male
Thomas Augustus Jagger,male,male,male
George Emlen Hare,male,unknown,unknown
William Kimbrough Pendleton,male,male,male
Henry Erskine Duncan,male,male,male
William Phillips Lewis,male,male,male
Joseph Thomas,male,male,male
Theodore Appel,male,male,male
Lucius Barrows,male,male,male
Thomas Frederick Davies,male,male,male
Edward Abram Foggo,male,male,male
Joseph Allison,male,male,male
Frederick Carroll Brewster,male,male,male
John Cadwalader,male,male,male
James Ryley Ludlow,male,male,male
Beale Melancthon Schmucker,unknown,unknown,unknown
Charles Augustus Young,male,male,male
John Nesbit Conyngham,male,male,male
Benjamin Wistar Morris,male,male,male
George Allen,male,unknown,unknown
Frederick Williamson Beasley,male,male,male
James Wilkinson Dale,male,male,male
Daniel Raynes Goodwin,male,male,male
John Innes Clark Hare,male,male,male
Henry Charles Lea,male,male,male
John Wanner Loch,male,male,male
Thomas Coffin Yarnall,male,male,male
Samuel Wylie Crawford Jr.,male,male,male
Henry Coppée,male,male,male
Jacob Isidor Mombert,male,male,male
Richard Mason Abercrombie,male,male,male
Samuel Cox Jr.,male,male,male
Edwards Hedges,unknown,unknown,unknown
Gottlob Frederick Krotel,male,male,male
Henry Eglinton Montgomery,male,male,male
John Wylie Faires,male,male,male
Abraham Rynier Van Nest Jr.,male,male,male
Theophilus Adam Wylie,male,male,male
James Lloyd Breck,male,male,male
Abram Newkirk Littlejohn,male,male,male
Divie Bethune Mccartee,unknown,unknown,unknown
Edwin Augustine Dalrymple,male,male,male
William Henry Odenheimer,male,male,male
