,course_name,course_code,reqs
0,1000 YRS MUSICAL LISTENG,MUSC030,"Cross Cultural Analysis, III: Arts and Letters"
1,AFRICA SINCE 1800,"AFRC076
HIST076","II: History and Tradition, Cross Cultural Analysis"
2,ANCIENT GREECE,"CLST026
HIST026
ANCH026","II: History and Tradition, Cross Cultural Analysis"
3,ANCIENT MED EMPIRES,"ANCH146
CLST146","II: History and Tradition, Cross Cultural Analysis"
4,"ANTHROPOLOGY, RACE, AND THE MAKING OF THE MODERN WORLD",ANTH002,"Cross Cultural Analysis, I: Society"
5,ASIAN-AMERICAN LIT,"ASAM002
ENGL072","Cultural Diversity in the U.S., III: Arts and Letters"
6,COLD WAR: GLOBAL HISTORY,"HIST135
REES135","IV: Humanities and Social Science, Cross Cultural Analysis"
7,DATA SCI FOR LANG & MIND,"PSYC215
LING172","VII: Natural Sciences and Math, Quantitative Data Analysis"
8,EMERGENCE OF MODERN SCIENCE,"HSOC001
STSC001","VII: Natural Sciences and Math, IV: Humanities and Social Science"
9,"EYE, MIND AND IMAGE",VLST101,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
10,FOUNDATIONS OF EUROPEAN THOUGHT: FROM ROME TO THE RENAISSANCE,"HIST143
COML143","II: History and Tradition, Cross Cultural Analysis"
11,FREN HIST/CLTR TIL 1789,FREN226,"II: History and Tradition, Cross Cultural Analysis"
12,FREN LIT: LOVE & PASSION,"FREN231
COML218","Cross Cultural Analysis, III: Arts and Letters"
13,"GEN.PHYS.:EM,OPTICS,MODP",PHYS102,"VI: Physical World, Quantitative Data Analysis"
14,GENDER & SOCIETY,GSWS002,"Cultural Diversity in the U.S., I: Society"
15,"GENERAL PHYSICS: MECHANICS, HEAT AND SOUND",PHYS101,"VI: Physical World, Quantitative Data Analysis"
16,GLOBALIZATION AND ITS HISTORICAL SIGNIFICANCE,"ANTH012
SOCI012","IV: Humanities and Social Science, Cross Cultural Analysis"
17,GREEK & ROMAN MYTHOLOGY,CLST100,"Cross Cultural Analysis, III: Arts and Letters"
18,HIST MID EAST SINCE 1800,"NELC031
HIST081","II: History and Tradition, Cross Cultural Analysis"
19,HONORS PHYSICS I: MECHANICS AND WAVE MOTION,PHYS170,"VI: Physical World, Quantitative Data Analysis"
20,IDEAS IN MATHEMATICS,MATH170,"VII: Natural Sciences and Math, Formal Reasoning & Analysis"
21,INTRO BIO-MOLEC BIO LIFE,BIOL121,"V: Living World, Quantitative Data Analysis"
22,INTRO LITERARY ANALYSIS,SPAN223,"Cross Cultural Analysis, III: Arts and Letters"
23,INTRO TO ANC NEAR EAST,"NELC101
HIST024
ANCH025","II: History and Tradition, Cross Cultural Analysis"
24,INTRO TO ASIAN AMER HIST,"ASAM003
HIST155","Cultural Diversity in the U.S., II: History and Tradition"
25,INTRO TO CHINESE CIVILIZ,EALC001,"II: History and Tradition, Cross Cultural Analysis"
26,INTRO TO GEOLOGY,GEOL100,"VI: Physical World, Quantitative Data Analysis"
27,INTRO TO SOCIOLOGY,"SOCI001
AFRC002","Cultural Diversity in the U.S., I: Society"
28,INTRO TO THE BIBLE,"RELS150
NELC450
NELC150
JWST150","IV: Humanities and Social Science, Cross Cultural Analysis"
29,INTRODUCTION TO COGNITIVE SCIENCE,"PHIL044
LING105
COGS001
PSYC207","VII: Natural Sciences and Math, Formal Reasoning & Analysis"
30,INTRODUCTION TO MEDITERRANEAN ARCHAEOLOGY,"CLST111
ARTH227
ANTH111","II: History and Tradition, Cross Cultural Analysis"
31,ITALIAN HISTORY ON SCREEN,"ITAL204
COML206
CIMS206","Cross Cultural Analysis, III: Arts and Letters"
32,LOVE&LOSS:JPNS LIT TRAD,"EALC152
GSWS152","Cross Cultural Analysis, III: Arts and Letters"
33,MADNESS & MADMEN,"COML197
REES197","IV: Humanities and Social Science, Cross Cultural Analysis"
34,MASTERPIECES 19C RUS LIT,REES145,"Cross Cultural Analysis, III: Arts and Letters"
35,MASTERPIECES OF FRENCH CINEMA,"FREN230
CIMS245","Cross Cultural Analysis, III: Arts and Letters"
36,MASTERPIECES-ITALIAN LIT,ITAL203,"Cross Cultural Analysis, III: Arts and Letters"
37,MED & EARLY MOD JEWRY,"NELC052
HIST140
JWST157","II: History and Tradition, Cross Cultural Analysis"
38,PRINCIPLES I,PHYS150,"VI: Physical World, Quantitative Data Analysis"
39,PRINCIPLES II,PHYS151,"VI: Physical World, Quantitative Data Analysis"
40,PUTIN'S RUSSIA,REES191,"IV: Humanities and Social Science, Cross Cultural Analysis"
41,SAINTS AND DEVILS IN RUSSIAN LITERATURE AND TRADITION,"RELS218
REES213
COML213","Cross Cultural Analysis, III: Arts and Letters"
42,SURVEY OF THE UNIVERSE,ASTR001,"VI: Physical World, Quantitative Data Analysis"
43,TEXTS AND CONTEXTS,SPAN219,"IV: Humanities and Social Science, Cross Cultural Analysis"
44,THE BIG BANG AND BEYOND,ASTR007,"VII: Natural Sciences and Math, Quantitative Data Analysis"
45,THE RELIGION OF ANIME,"RELS079
EALC079","Cross Cultural Analysis, III: Arts and Letters"
46,WORLD FILM HIST '45-PRES,"ENGL092
ARTH109
CIMS102
COML124","Cross Cultural Analysis, III: Arts and Letters"
47,WORLD FILM HIST TO 1945,"CIMS101
COML123
ARTH108
ENGL091","Cross Cultural Analysis, III: Arts and Letters"
48,WORLD MUSICS & CULTURES,"FOLK022
ANTH022
AFRC050
MUSC050","Cross Cultural Analysis, III: Arts and Letters"
