,Course Name,Course Code,Sector,Foundation
91,Recitation - Intro to Sociology,AFRC 1000<br>SOCI 1000,I: Society,Cultural Diversity in the U.S.
92,The Big Bang and Beyond,ASTR 0007,VII: Natural Sciences Across Disciplines,Quantitative Data Analysis
93,The City in South Asia,ANTH 0002<br>SAST 0002<br>URBS 0002,I: Society,Cross Cultural Analysis
94,The Emergence of Modern Europe,HIST 0200,II: History and Tradition,Cross Cultural Analysis
95,The Law in our Lives,SOCI 0004,I: Society,Cultural Diversity in the U.S.
96,The Middle East through Many Lenses,NELC 0600,IV: Humanities and Social Science,Cross Cultural Analysis
97,The Religion of Anime,CIMS 0790<br>EALC 1550<br>RELS 0790,III: Arts and Letters,Cross Cultural Analysis
98,"The Soviet Century, 1917-1991",HIST 0290<br>REES 0311,II: History and Tradition,Cross Cultural Analysis
99,The Twentieth Century: Whose American Dream?,ENGL 0040,III: Arts and Letters,Cultural Diversity in the U.S.
100,Thinking About Popular Music,MUSC 1420,III: Arts and Letters,Cultural Diversity in the U.S.
101,"Transformations of Urban America: Making the Unequal Metropolis, 1945 to Today",HIST 1153<br>URBS 1153,I: Society,Cultural Diversity in the U.S.
102,"Warriors, Concubines & Converts: the Ottoman Empire in the Middle East & Europe",HIST 0310<br>NELC 0450,II: History and Tradition,Cross Cultural Analysis
103,World Art before 1400,ARTH 1010,III: Arts and Letters,Cross Cultural Analysis
104,World Film History 1945-Present,ARTH 1090<br>CIMS 1020<br>COML 1022<br>ENGL 1901,III: Arts and Letters,Cross Cultural Analysis
105,World Film History to 1945,ARTH 1080<br>CIMS 1010<br>COML 1011<br>ENGL 1900,III: Arts and Letters,Cross Cultural Analysis
106,World Musics and Cultures,AFRC 1500<br>ANTH 1500<br>MUSC 1500,III: Arts and Letters,Cross Cultural Analysis
